Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,SoC,Leistung
01.01.2024 12:00:31,12.2,32,9.82,1.66,0.72,595.93,0.87,0.88,439,90,875.1
01.01.2024 12:00:32,19.53,33,13.77,4.09,1.67,428.42,0.44,0.77,131,12,101.0
01.01.2024 12:00:33,97.67,34,5.57,27.5,64.6,534.34,0.75,0.98,260,28,911.0
01.01.2024 12:00:34,6.79,35,5.55,0.96,0.28,634.87,0.94,0.28,771,32,861.5
01.01.2024 12:00:35,89.97,36,23.15,54.4,12.42,520.81,0.09,0.13,169,24,506.8
01.01.2024 12:00:36,0.7,37,0.59,0.09,0.02,901.63,0.6,0.03,441,12,650.2
01.01.2024 12:00:37,41.85,38,12.81,22.25,6.79,914.42,0.5,0.4,582,69,488.5
01.01.2024 12:00:38,65.42,39,13.72,20.33,31.37,284.55,0.86,0.66,830,69,451.9
01.01.2024 12:00:39,89.25,40,74.44,5.88,8.93,539.06,0.11,0.41,14,68,226.4
01.01.2024 12:00:40,71.31,41,21.61,16.97,32.73,932.89,0.64,0.13,212,99,626.5
01.01.2024 12:00:41,55.35,42,23.14,13.48,18.73,271.36,0.4,0.08,965,8,391.4
01.01.2024 12:00:42,0.69,43,0.25,0.06,0.38,80.9,0.75,0.92,870,60,714.5
01.01.2024 12:00:43,34.98,44,6.81,15.09,13.08,530.12,0.13,0.65,185,34,153.3
01.01.2024 12:00:44,44.97,45,18.91,0.46,25.6,925.74,0.66,0.01,449,64,27.5
01.01.2024 12:00:45,85.71,46,43.53,19.44,22.74,9.67,0.53,0.01,702,73,887.1
01.01.2024 12:00:46,57.2,47,32.38,0.14,24.68,587.33,0.56,0.84,991,63,282.4
01.01.2024 12:00:47,2.73,48,1.43,0.17,1.13,776.82,0.59,0.82,248,66,742.2
01.01.2024 12:00:48,9.84,49,3.39,4.39,2.06,80.16,0.47,0.73,515,22,80.0
01.01.2024 12:00:49,76.25,50,15.52,28.87,31.86,876.59,0.4,0.16,855,45,216.0
01.01.2024 12:00:50,6.64,51,1.14,4.73,0.77,695.87,0.54,0.78,909,96,389.4
01.01.2024 12:00:51,73.3,52,48.67,8.77,15.86,280.08,0.18,0.49,237,62,683.1
01.01.2024 12:00:52,77.18,53,34.19,4.66,38.33,328.72,0.27,0.25,576,45,548.7
01.01.2024 12:00:53,42.08,54,27.57,5.95,8.56,637.94,0.05,0.72,734,55,634.5
01.01.2024 12:00:54,0.74,55,0.34,0.01,0.39,387.48,0.34,0.89,541,88,840.7
01.01.2024 12:00:55,92.5,56,49.41,11.46,31.63,811.47,0.05,0.02,2,91,433.9
01.01.2024 12:00:56,93.17,57,40.51,28.49,24.17,599.61,0.34,0.72,146,82,730.9
01.01.2024 12:00:57,5.76,58,4.67,1.07,0.02,870.28,0.91,0.06,583,70,687.9
01.01.2024 12:00:58,79.6,59,69.34,2.85,7.41,692.42,0.33,0.62,275,3,629.2
01.01.2024 12:00:59,72.59,60,29.84,1.64,41.11,2.65,0.9,0.9,929,40,482.5
01.01.2024 12:01:00,8.57,61,6.9,0.07,1.6,688.47,0.52,0.55,520,94,441.6
01.01.2024 12:01:01,18.53,62,14.44,1.88,2.21,293.09,0.19,0.55,505,44,476.2
01.01.2024 12:01:02,51.95,63,21.44,22.25,8.26,118.53,0.74,0.45,401,10,830.7
01.01.2024 12:01:03,46.74,64,4.59,6.83,35.32,100.51,0.28,0.37,960,6,484.6
01.01.2024 12:01:04,57.66,65,27.8,4.06,25.8,990.74,0.38,0.91,83,83,611.9
01.01.2024 12:01:05,74.74,66,45.28,11.15,18.31,293.18,0.28,0.8,778,80,635.9
01.01.2024 12:01:06,89.71,67,82.72,0.03,6.96,151.77,0.92,0.22,744,76,533.0
01.01.2024 12:01:07,61.05,68,30.05,8.39,22.61,559.76,0.92,0.74,360,39,648.3
01.01.2024 12:01:08,12.01,69,8.71,2.53,0.77,161.52,0.08,0.5,114,24,634.2
01.01.2024 12:01:09,92.35,70,42.49,1.53,48.33,115.51,0.07,0.92,168,62,953.3
01.01.2024 12:01:10,34.84,71,24.1,7.45,3.29,420.02,0.32,0.98,166,32,393.3
01.01.2024 12:01:11,75.58,72,30.56,17.24,27.78,620.27,0.96,0.79,528,60,794.0
01.01.2024 12:01:12,93.24,73,72.65,11.61,8.98,516.68,0.55,0.01,657,99,69.5
01.01.2024 12:01:13,83.64,74,1.32,60.46,21.86,197.47,0.2,0.87,423,1,507.3
01.01.2024 12:01:14,21.52,75,17.27,2.72,1.53,567.51,0.42,0.09,953,97,866.3
01.01.2024 12:01:15,54.5,76,53.31,0.19,1.0,204.15,0.66,0.3,261,14,653.2
01.01.2024 12:01:16,86.41,77,20.25,44.39,21.77,580.31,0.4,0.15,857,58,462.8
01.01.2024 12:01:17,66.09,78,8.71,41.32,16.06,386.42,0.44,0.68,242,91,407.2
01.01.2024 12:01:18,10.64,79,10.46,0.02,0.16,47.82,0.62,0.92,209,15,489.3
01.01.2024 12:01:19,86.74,80,12.16,46.34,28.24,558.98,0.47,0.94,49,75,622.7
01.01.2024 12:01:20,5.14,81,2.81,2.1,0.23,191.33,0.63,0.96,585,55,931.2
01.01.2024 12:01:21,24.41,82,13.23,3.41,7.77,886.18,0.21,0.47,575,50,163.7
01.01.2024 12:01:22,75.04,83,5.97,54.08,14.99,407.41,0.01,0.46,126,2,230.2
01.01.2024 12:01:23,20.93,84,0.25,6.87,13.81,329.64,0.05,0.28,247,29,273.3
01.01.2024 12:01:24,48.63,85,31.2,8.12,9.31,194.89,0.87,0.03,769,87,716.7
01.01.2024 12:01:25,35.77,86,9.05,8.66,18.06,981.35,0.72,0.58,170,24,876.2
01.01.2024 12:01:26,53.65,87,26.68,9.31,17.66,465.97,0.22,0.36,905,98,837.9
01.01.2024 12:01:27,35.2,88,15.97,4.36,14.87,50.17,0.16,0.84,475,12,907.7
01.01.2024 12:01:28,22.04,89,4.89,7.06,10.09,24.13,0.88,0.71,270,25,76.4
01.01.2024 12:01:29,37.83,90,11.92,23.25,2.66,155.44,0.04,0.73,86,37,631.9
01.01.2024 12:01:30,50.22,91,3.96,19.97,26.29,440.48,0.33,0.45,600,2,722.8
01.01.2024 12:01:31,93.07,92,64.12,10.28,18.67,420.67,0.13,0.01,648,27,636.3
01.01.2024 12:01:32,21.18,93,14.08,6.35,0.75,998.58,0.34,0.79,554,11,232.4
01.01.2024 12:01:33,63.59,94,38.58,10.08,14.93,573.83,0.19,0.36,715,16,635.9
01.01.2024 12:01:34,98.87,95,37.71,55.51,5.65,564.78,0.18,0.36,779,18,511.9
01.01.2024 12:01:35,39.25,96,29.92,6.49,2.84,603.26,0.22,0.68,229,65,526.1
01.01.2024 12:01:36,26.12,97,8.12,15.7,2.3,103.89,0.22,0.37,310,77,612.7
01.01.2024 12:01:37,40.92,98,27.39,12.65,0.88,151.78,0.92,0.78,320,15,631.2
01.01.2024 12:01:38,85.17,99,16.08,61.74,7.35,591.72,0.41,0.41,293,40,406.1
01.01.2024 12:01:39,7.43,100,5.9,1.04,0.49,105.39,0.7,0.88,788,16,412.9
01.01.2024 12:01:40,34.78,101,10.77,16.24,7.77,471.46,0.38,0.71,241,9,371.8
01.01.2024 12:01:41,34.51,102,6.56,23.92,4.03,895.6,0.62,0.59,53,85,586.9
01.01.2024 12:01:42,80.15,103,79.03,0.39,0.73,756.31,0.96,0.72,689,90,544.3
01.01.2024 12:01:43,36.3,104,16.8,15.23,4.27,52.07,0.07,0.82,660,33,140.1
01.01.2024 12:01:44,83.32,105,5.45,48.44,29.43,430.68,0.29,0.21,257,90,84.5
01.01.2024 12:01:45,94.82,106,39.35,1.0,54.47,226.28,0.76,0.57,123,90,856.1
01.01.2024 12:01:46,14.62,107,9.65,2.61,2.36,472.04,0.74,0.73,525,74,829.7
01.01.2024 12:01:47,14.8,108,4.13,7.7,2.97,298.8,0.58,0.22,466,5,93.3
01.01.2024 12:01:48,48.03,109,3.3,39.33,5.4,29.91,0.23,0.35,444,6,470.0
01.01.2024 12:01:49,11.98,110,7.19,0.83,3.96,857.43,0.57,0.75,298,56,37.5
01.01.2024 12:01:50,72.36,111,20.8,27.28,24.28,664.76,0.66,0.23,677,66,376.3
01.01.2024 12:01:51,55.75,112,3.2,6.42,46.13,230.56,0.81,0.27,466,74,556.9
01.01.2024 12:01:52,17.95,113,1.03,2.86,14.06,375.15,0.56,0.83,322,29,176.4
01.01.2024 12:01:53,44.07,114,3.65,21.24,19.18,908.3,0.62,0.28,317,92,517.5
01.01.2024 12:01:54,84.85,115,68.35,6.01,10.49,763.95,0.11,0.82,154,87,173.5
01.01.2024 12:01:55,19.63,116,9.42,5.55,4.66,770.87,0.55,0.7,612,25,917.4
01.01.2024 12:01:56,78.57,117,47.21,22.51,8.85,997.21,0.33,0.36,943,96,295.0
01.01.2024 12:01:57,92.92,118,36.75,15.41,40.76,484.49,0.25,0.81,276,40,464.7
01.01.2024 12:01:58,42.57,119,30.14,1.42,11.01,809.17,0.34,0.27,663,9,593.0
01.01.2024 12:01:59,67.6,120,26.47,8.3,32.83,169.37,0.87,0.32,292,45,639.6
01.01.2024 12:02:00,44.29,121,10.1,0.38,33.81,978.1,0.78,0.35,661,69,762.3
01.01.2024 12:02:01,21.87,122,2.86,3.55,15.46,32.19,0.31,0.99,755,23,111.6
01.01.2024 12:02:02,29.87,123,8.16,1.82,19.89,971.81,0.07,0.91,861,79,683.3
01.01.2024 12:02:03,96.88,124,66.96,0.91,29.01,589.62,0.09,0.81,344,64,88.9
01.01.2024 12:02:04,89.17,125,21.5,3.23,64.44,803.49,0.92,0.12,293,66,22.0
01.01.2024 12:02:05,98.45,126,8.36,37.13,52.96,710.59,0.73,0.47,196,46,840.2
01.01.2024 12:02:06,31.72,127,20.81,4.8,6.11,882.56,0.24,0.4,5,92,710.6
01.01.2024 12:02:07,66.9,128,65.2,0.42,1.28,847.98,0.11,0.26,194,14,418.4
01.01.2024 12:02:08,9.47,129,1.4,2.22,5.85,905.47,0.76,0.41,647,62,629.0
01.01.2024 12:02:09,95.34,130,76.97,4.78,13.59,371.49,0.81,0.83,192,1,807.8
01.01.2024 12:02:10,10.45,131,6.59,1.53,2.33,922.96,0.29,0.67,195,32,815.5
01.01.2024 12:02:11,13.94,132,3.97,1.47,8.5,182.2,0.95,0.22,458,25,415.3
01.01.2024 12:02:12,8.47,133,2.12,1.89,4.46,46.32,0.13,0.37,216,55,443.6
01.01.2024 12:02:13,70.5,134,30.44,13.47,26.59,427.98,0.25,0.89,509,98,943.6
01.01.2024 12:02:14,87.63,135,67.06,11.21,9.36,682.73,0.97,0.53,735,62,479.3
01.01.2024 12:02:15,25.52,136,23.19,0.51,1.82,758.83,0.96,0.86,886,55,305.8
01.01.2024 12:02:16,51.74,137,51.46,0.12,0.16,502.7,0.64,0.94,309,9,53.0
01.01.2024 12:02:17,58.53,138,38.49,11.98,8.06,0.4,0.18,0.3,82,33,347.2
01.01.2024 12:02:18,79.38,139,3.35,40.17,35.86,185.48,0.82,0.05,232,53,452.1
01.01.2024 12:02:19,99.45,140,24.89,72.22,2.34,20.11,0.44,0.1,601,0,645.8
01.01.2024 12:02:20,34.12,141,25.29,6.33,2.5,794.52,0.36,0.49,142,36,441.3
01.01.2024 12:02:21,75.22,142,72.51,1.51,1.2,735.64,0.36,0.42,756,51,978.4
01.01.2024 12:02:22,49.2,143,20.74,15.95,12.51,769.87,0.98,0.71,144,53,727.5
01.01.2024 12:02:23,13.9,144,1.62,3.77,8.51,973.13,0.15,0.22,873,54,321.2
01.01.2024 12:02:24,15.87,145,9.54,1.66,4.67,613.91,0.33,0.7,594,13,396.5
01.01.2024 12:02:25,92.01,146,77.64,7.44,6.93,408.96,0.84,0.15,262,79,739.7
01.01.2024 12:02:26,88.46,147,48.43,1.24,38.79,416.29,0.25,0.28,289,89,670.3
01.01.2024 12:02:27,23.97,148,19.0,0.81,4.16,726.94,0.24,0.02,622,11,117.4
01.01.2024 12:02:28,55.92,149,12.18,1.34,42.4,815.57,0.05,0.69,648,90,923.4
01.01.2024 12:02:29,48.36,150,45.43,1.04,1.89,404.16,0.8,0.82,595,67,657.6
01.01.2024 12:02:30,69.17,151,41.67,5.05,22.45,485.08,0.09,0.38,210,81,20.4
01.01.2024 12:02:31,98.93,152,1.18,73.44,24.31,923.04,0.9,0.79,477,27,830.2
01.01.2024 12:02:32,49.12,153,3.65,29.22,16.25,157.91,0.34,0.04,83,6,427.2
01.01.2024 12:02:33,51.02,154,49.09,0.33,1.6,939.06,0.49,0.97,858,20,79.2
01.01.2024 12:02:34,49.4,155,26.65,12.15,10.6,182.08,0.63,0.02,857,39,378.1
01.01.2024 12:02:35,95.42,156,31.94,11.55,51.93,409.44,0.93,0.46,161,83,272.1
01.01.2024 12:02:36,20.92,157,10.18,6.23,4.51,606.85,0.63,0.58,104,63,722.9
01.01.2024 12:02:37,47.38,158,24.77,9.87,12.74,773.72,0.23,0.85,555,44,762.4
01.01.2024 12:02:38,62.49,159,36.36,8.02,18.11,104.81,0.96,0.41,980,96,945.4
01.01.2024 12:02:39,77.77,160,48.49,16.63,12.65,282.2,0.87,0.08,450,92,985.8
01.01.2024 12:02:40,92.87,161,63.78,14.25,14.84,131.78,0.87,0.96,404,83,924.0
01.01.2024 12:02:41,70.76,162,3.64,45.43,21.69,666.07,0.74,0.24,367,65,915.7
01.01.2024 12:02:42,32.71,163,9.79,16.55,6.37,450.6,0.08,0.76,772,47,5.7
01.01.2024 12:02:43,25.56,164,18.5,6.57,0.49,957.23,0.25,0.6,284,42,286.8
01.01.2024 12:02:44,0.53,165,0.37,0.12,0.04,458.64,0.54,0.37,228,80,452.5
01.01.2024 12:02:45,4.41,166,3.78,0.28,0.35,512.25,0.86,0.6,733,46,690.9
01.01.2024 12:02:46,61.65,167,33.87,1.87,25.91,331.71,0.54,0.63,234,10,48.3
01.01.2024 12:02:47,61.61,168,58.96,1.3,1.35,561.06,0.84,0.0,114,49,209.1
01.01.2024 12:02:48,4.06,169,2.37,1.35,0.34,873.42,0.04,0.27,445,41,695.7
01.01.2024 12:02:49,86.9,170,81.72,0.54,4.64,433.18,0.36,0.71,837,8,415.4
01.01.2024 12:02:50,43.0,171,15.89,17.25,9.86,551.24,0.56,0.03,301,27,538.9
01.01.2024 12:02:51,26.72,172,21.48,1.82,3.42,410.69,0.81,0.44,87,86,428.6
01.01.2024 12:02:52,87.73,173,48.51,29.3,9.92,583.25,0.22,0.98,175,69,682.5
01.01.2024 12:02:53,58.96,174,40.12,10.44,8.4,288.71,0.42,0.11,334,13,827.9
01.01.2024 12:02:54,12.87,175,12.82,0.04,0.01,476.91,0.47,0.49,697,98,641.5
01.01.2024 12:02:55,44.26,176,38.63,3.14,2.49,982.83,0.73,0.08,24,92,673.8
01.01.2024 12:02:56,37.71,177,10.24,8.02,19.45,729.98,0.55,0.38,15,39,331.1
01.01.2024 12:02:57,89.6,178,44.66,2.02,42.92,713.79,0.83,0.89,786,88,986.7
01.01.2024 12:02:58,79.73,179,55.69,3.7,20.34,647.01,0.78,0.78,677,56,612.7
01.01.2024 12:02:59,82.67,180,11.96,66.63,4.08,749.18,0.14,0.02,26,11,563.1
01.01.2024 12:03:00,20.91,181,16.19,0.21,4.51,687.43,0.41,0.91,164,14,771.3
01.01.2024 12:03:01,17.64,182,13.23,0.67,3.74,442.27,0.09,0.65,996,44,349.3
01.01.2024 12:03:02,75.59,183,14.07,11.02,50.5,175.31,0.3,0.93,227,97,543.1
01.01.2024 12:03:03,54.28,184,10.94,26.14,17.2,301.77,0.46,0.1,325,73,762.0
01.01.2024 12:03:04,59.7,185,4.27,17.4,38.03,248.02,0.52,0.15,39,20,167.1
01.01.2024 12:03:05,47.83,186,46.61,0.26,0.96,184.08,0.99,0.46,61,47,992.8
01.01.2024 12:03:06,81.28,187,12.74,58.07,10.47,990.78,0.86,0.29,346,82,191.0
01.01.2024 12:03:07,98.44,188,65.22,14.77,18.45,323.23,0.97,0.71,934,84,120.3
01.01.2024 12:03:08,14.75,189,9.01,5.71,0.03,42.37,0.22,0.38,545,14,28.1
01.01.2024 12:03:09,10.15,190,6.97,3.02,0.16,609.8,0.86,0.55,626,49,305.6
01.01.2024 12:03:10,4.16,191,0.55,1.78,1.83,223.44,0.38,0.87,13,9,88.1
01.01.2024 12:03:11,26.62,192,15.63,7.99,3.0,301.05,0.03,0.82,311,89,724.4
01.01.2024 12:03:12,9.41,193,2.05,5.88,1.48,960.15,0.74,0.94,597,5,7.1
01.01.2024 12:03:13,74.42,194,38.07,34.27,2.08,978.4,0.02,0.13,83,13,829.8
01.01.2024 12:03:14,64.46,195,12.3,31.21,20.95,652.55,0.48,0.31,804,35,897.1
01.01.2024 12:03:15,36.93,196,1.22,21.51,14.2,23.97,0.43,0.95,0,34,729.5
01.01.2024 12:03:16,61.39,197,32.82,7.68,20.89,531.13,0.8,0.68,629,10,739.3
01.01.2024 12:03:17,73.81,198,39.06,9.06,25.69,804.38,0.73,0.57,120,78,969.0
01.01.2024 12:03:18,31.77,199,25.92,1.1,4.75,136.29,0.75,0.9,504,63,541.6
01.01.2024 12:03:19,56.66,200,38.57,4.19,13.9,374.85,0.13,0.07,205,79,815.3
01.01.2024 12:03:20,99.1,201,60.64,14.2,24.26,515.16,0.95,0.53,306,35,294.6
01.01.2024 12:03:21,44.46,202,41.15,2.13,1.18,510.82,0.14,0.5,875,28,447.1
01.01.2024 12:03:22,87.08,203,41.0,33.05,13.03,25.02,0.63,0.17,852,36,185.2
01.01.2024 12:03:23,86.16,204,1.61,10.93,73.62,533.88,0.05,0.82,722,19,43.8
01.01.2024 12:03:24,19.46,205,9.35,0.33,9.78,733.1,0.96,0.87,588,77,39.8
01.01.2024 12:03:25,94.97,206,6.86,40.52,47.59,211.04,0.66,0.88,830,28,815.0
01.01.2024 12:03:26,25.48,207,0.23,3.76,21.49,422.15,0.84,0.59,854,89,244.8
01.01.2024 12:03:27,0.9,208,0.9,0.0,0.0,304.79,0.04,0.28,38,78,901.0
01.01.2024 12:03:28,73.28,209,13.58,38.21,21.49,562.01,0.39,0.65,692,59,16.9
01.01.2024 12:03:29,68.62,210,26.64,23.49,18.49,382.67,0.3,0.9,775,85,246.4
01.01.2024 12:03:30,87.15,211,58.38,6.9,21.87,984.48,0.2,0.24,232,65,128.8
01.01.2024 12:03:31,52.02,212,20.47,15.84,15.71,623.63,0.86,0.96,757,3,401.6
01.01.2024 12:03:32,0.76,213,0.27,0.09,0.4,379.8,0.5,0.47,40,8,614.7
01.01.2024 12:03:33,73.99,214,28.78,26.83,18.38,824.94,0.74,0.45,821,68,616.0
01.01.2024 12:03:34,44.68,215,43.07,0.6,1.01,679.92,0.53,0.03,33,19,574.6
01.01.2024 12:03:35,46.94,216,41.08,2.26,3.6,943.5,0.82,0.88,721,77,609.2
01.01.2024 12:03:36,94.14,217,44.92,39.4,9.82,251.84,0.24,0.76,774,8,636.5
01.01.2024 12:03:37,82.61,218,25.66,5.24,51.71,614.95,0.71,0.2,115,21,340.8
01.01.2024 12:03:38,29.11,219,18.91,6.45,3.75,119.08,0.6,0.87,706,5,70.9
01.01.2024 12:03:39,53.18,220,33.96,15.36,3.86,356.95,0.26,0.77,999,12,236.5
01.01.2024 12:03:40,39.0,221,5.41,3.39,30.2,897.3,0.87,0.94,161,44,126.2
01.01.2024 12:03:41,94.85,222,18.38,28.85,47.62,665.71,0.22,0.55,901,87,157.0
01.01.2024 12:03:42,9.21,223,2.11,4.28,2.82,847.35,0.25,0.99,467,11,284.1
01.01.2024 12:03:43,13.69,224,0.67,10.77,2.25,589.08,0.88,0.13,97,88,513.7
01.01.2024 12:03:44,56.14,225,44.85,5.39,5.9,159.75,0.46,0.85,241,43,901.3
01.01.2024 12:03:45,48.54,226,45.67,2.67,0.2,918.45,0.07,0.75,513,8,877.3
01.01.2024 12:03:46,75.93,227,0.51,74.73,0.69,306.26,0.41,0.34,75,77,624.9
01.01.2024 12:03:47,53.2,228,5.12,24.71,23.37,442.14,0.53,0.22,312,61,795.7
01.01.2024 12:03:48,23.17,229,22.35,0.42,0.4,300.12,0.17,0.5,373,5,663.3
01.01.2024 12:03:49,7.61,230,6.83,0.35,0.43,666.18,0.26,0.62,27,39,216.6
01.01.2024 12:03:50,64.09,231,55.91,6.1,2.08,935.63,0.6,0.14,574,99,977.0
01.01.2024 12:03:51,27.88,232,3.31,17.53,7.04,907.68,0.98,0.85,733,8,705.7
01.01.2024 12:03:52,89.94,233,61.53,9.14,19.27,942.31,0.31,0.51,28,66,544.0
01.01.2024 12:03:53,46.54,234,26.54,17.21,2.79,563.29,0.51,0.03,33,47,230.8
01.01.2024 12:03:54,19.14,235,17.98,0.66,0.5,664.62,0.44,0.28,364,10,530.9
01.01.2024 12:03:55,80.95,236,3.64,65.71,11.6,194.46,0.2,0.66,946,11,506.1
01.01.2024 12:03:56,81.54,237,68.35,1.99,11.2,790.8,0.55,0.18,956,8,282.7
01.01.2024 12:03:57,70.5,238,35.17,27.35,7.98,144.05,0.59,0.5,854,10,684.9
01.01.2024 12:03:58,17.65,239,12.03,4.8,0.82,815.05,0.92,0.73,348,68,683.6
01.01.2024 12:03:59,90.33,240,40.36,28.8,21.17,825.98,0.81,0.98,823,78,205.5
01.01.2024 12:04:00,65.62,241,43.06,4.1,18.46,817.97,0.61,0.01,304,28,901.0
01.01.2024 12:04:01,10.67,242,3.53,5.39,1.75,940.44,0.02,0.21,602,61,786.7
01.01.2024 12:04:02,96.09,243,56.64,3.75,35.7,1.05,0.73,0.82,884,14,487.9
01.01.2024 12:04:03,68.63,244,29.22,1.84,37.57,2.77,0.42,0.87,60,14,335.9
01.01.2024 12:04:04,3.51,245,0.64,0.76,2.11,810.86,0.98,0.81,322,98,365.9
01.01.2024 12:04:05,42.56,246,25.03,12.93,4.6,560.41,0.9,0.68,345,32,809.6
01.01.2024 12:04:06,87.5,247,53.08,23.92,10.5,78.98,0.46,0.5,665,69,849.3
01.01.2024 12:04:07,26.5,248,18.65,0.58,7.27,753.12,0.97,0.03,922,91,67.6
01.01.2024 12:04:08,65.42,249,26.4,11.66,27.36,534.64,0.79,0.57,262,87,287.2
01.01.2024 12:04:09,77.63,250,20.75,31.02,25.86,146.85,0.51,0.4,989,77,834.3
01.01.2024 12:04:10,58.36,251,36.55,2.91,18.9,817.37,0.46,0.34,292,52,539.2
01.01.2024 12:04:11,89.8,252,79.94,9.74,0.12,284.83,0.68,0.45,343,22,242.2
01.01.2024 12:04:12,86.57,253,18.05,30.66,37.86,70.92,0.3,0.71,290,45,965.5
01.01.2024 12:04:13,24.77,254,16.26,0.53,7.98,949.66,0.95,0.43,119,5,455.0
01.01.2024 12:04:14,11.09,255,1.43,7.31,2.35,365.82,0.17,0.91,10,88,87.1
01.01.2024 12:04:15,98.54,256,43.71,19.61,35.22,642.53,0.3,0.72,737,2,297.0
01.01.2024 12:04:16,67.93,257,15.97,13.35,38.61,547.85,0.91,0.92,768,97,682.1
01.01.2024 12:04:17,76.94,258,67.23,2.72,6.99,947.79,0.51,0.14,750,33,788.4
01.01.2024 12:04:18,92.0,259,42.21,17.2,32.59,978.9,0.26,0.87,28,39,444.4
01.01.2024 12:04:19,49.15,260,8.65,38.78,1.72,794.63,0.62,0.12,806,91,541.6
01.01.2024 12:04:20,57.62,261,13.95,29.95,13.72,631.96,0.47,0.41,714,78,671.1
01.01.2024 12:04:21,46.88,262,25.73,13.97,7.18,114.93,0.29,0.65,805,42,721.0
01.01.2024 12:04:22,9.56,263,3.73,2.12,3.71,932.4,0.01,0.16,549,80,778.8
01.01.2024 12:04:23,76.99,264,76.41,0.1,0.48,927.09,0.37,0.82,500,6,739.5
01.01.2024 12:04:24,68.14,265,40.49,18.45,9.2,809.52,0.78,0.19,981,26,91.4
01.01.2024 12:04:25,74.72,266,41.59,29.79,3.34,381.13,0.43,0.72,166,78,978.6
01.01.2024 12:04:26,60.72,267,30.11,6.71,23.9,88.42,0.61,0.83,380,93,615.3
01.01.2024 12:04:27,19.64,268,4.75,12.06,2.83,673.4,0.64,0.14,381,42,524.5
01.01.2024 12:04:28,76.47,269,53.57,14.5,8.4,509.83,0.05,0.19,56,50,371.0
01.01.2024 12:04:29,5.4,270,0.97,1.67,2.76,775.58,0.52,0.4,713,82,813.9
