Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,SoC,Leistung,Tankstellen-ID,Startzeit,Endzeit,Fahrzeugkennzeichen
Tankvorgang,,,,,,,,,,,,,37,2024-04-06 13:31:35,2024-01-01 04:18:00,QJL-4409
PV-Anlage,01.01.2024 05:00:00,73.09,6,21.22,0.54,51.33,570.46,715.57,3.19,106,41,1360.52,,,,
Tankvorgang,,,,,,,,,,,,,85,2024-01-01 05:00:00,,MHQ-2861
Tankvorgang,,,,,,,,,,,,,36,2024-01-01 05:00:00,,GVA-7047
Tankvorgang,,,,,,,,,,,,,76,2024-04-06 13:31:35,2024-01-01 05:30:00,GBX-5192
Tankvorgang,,,,,,,,,,,,,69,2024-04-06 13:31:35,2024-01-01 05:27:00,WBO-8550
PV-Anlage,01.01.2024 06:00:00,88.85,7,6.52,9.59,72.74,745.45,3002.23,23.74,811,65,-1836.69,,,,
Tankvorgang,,,,,,,,,,,,,29,2024-01-01 06:00:00,,EIE-6878
Tankvorgang,,,,,,,,,,,,,14,2024-01-01 06:00:00,,WDN-2996
Tankvorgang,,,,,,,,,,,,,59,2024-01-01 06:00:00,,ZWM-9311
Tankvorgang,,,,,,,,,,,,,53,2024-01-01 06:00:00,,RZM-9479
Tankvorgang,,,,,,,,,,,,,3,2024-01-01 06:00:00,,JKR-0585
Tankvorgang,,,,,,,,,,,,,79,2024-04-06 13:31:35,2024-01-01 06:15:00,IAQ-9910
Tankvorgang,,,,,,,,,,,,,31,2024-04-06 13:31:35,2024-01-01 06:18:00,BQH-8122
Tankvorgang,,,,,,,,,,,,,62,2024-04-06 13:31:35,2024-01-01 06:25:00,AUG-7093
Tankvorgang,,,,,,,,,,,,,9,2024-04-06 13:31:35,2024-01-01 06:20:00,OED-9778
Tankvorgang,,,,,,,,,,,,,53,2024-04-06 13:31:35,2024-01-01 06:24:00,GML-7442
PV-Anlage,01.01.2024 07:00:00,57.37,8,55.0,0.12,2.25,1286.95,3965.08,7.33,339,74,1499.38,,,,
Tankvorgang,,,,,,,,,,,,,74,2024-01-01 07:00:00,,QCI-9923
Tankvorgang,,,,,,,,,,,,,49,2024-01-01 07:00:00,,RAB-3006
Tankvorgang,,,,,,,,,,,,,82,2024-04-06 13:31:35,2024-01-01 07:11:00,FND-3696
Tankvorgang,,,,,,,,,,,,,66,2024-04-06 13:31:35,2024-01-01 07:14:00,RUR-1373
PV-Anlage,01.01.2024 08:00:00,85.87,9,13.35,59.11,13.41,697.87,1286.5,43.6,657,15,-369.46,,,,
PV-Anlage,01.01.2024 09:00:00,12.34,10,8.52,1.55,2.27,1365.6,1509.64,17.71,160,33,722.93,,,,
Tankvorgang,,,,,,,,,,,,,90,2024-01-01 09:00:00,,BNI-9753
Tankvorgang,,,,,,,,,,,,,55,2024-04-06 13:31:35,2024-01-01 09:14:00,ECL-9351
PV-Anlage,01.01.2024 10:00:00,48.91,11,17.3,17.42,14.19,540.58,1069.46,36.39,11,91,-863.21,,,,
PV-Anlage,01.01.2024 11:00:00,16.67,12,0.84,11.54,4.29,1896.39,2922.71,2.72,21,8,-1347.83,,,,
Tankvorgang,,,,,,,,,,,,,38,2024-01-01 11:00:00,,BHL-5073
Tankvorgang,,,,,,,,,,,,,68,2024-01-01 11:00:00,,GLN-4298
Tankvorgang,,,,,,,,,,,,,1,2024-04-06 13:31:35,2024-01-01 11:24:00,OUP-4264
Tankvorgang,,,,,,,,,,,,,11,2024-04-06 13:31:35,2024-01-01 11:22:00,DDQ-1381
PV-Anlage,01.01.2024 12:00:00,64.98,13,36.92,12.21,15.85,1606.77,1267.91,69.6,457,57,-825.72,,,,
Tankvorgang,,,,,,,,,,,,,52,2024-01-01 12:00:00,,IOT-6719
Tankvorgang,,,,,,,,,,,,,42,2024-04-06 13:31:35,2024-01-01 12:18:00,MBM-3090
PV-Anlage,01.01.2024 13:00:00,39.89,14,23.41,12.52,3.96,1301.77,1168.88,14.61,547,5,-1206.6,,,,
Tankvorgang,,,,,,,,,,,,,3,2024-01-01 13:00:00,,LGF-4254
Tankvorgang,,,,,,,,,,,,,91,2024-01-01 13:00:00,,WEA-9028
Tankvorgang,,,,,,,,,,,,,42,2024-01-01 13:00:00,,RYJ-2053
Tankvorgang,,,,,,,,,,,,,88,2024-01-01 13:00:00,,VRX-6334
Tankvorgang,,,,,,,,,,,,,60,2024-04-06 13:31:35,2024-01-01 13:12:00,DHQ-7721
Tankvorgang,,,,,,,,,,,,,29,2024-04-06 13:31:35,2024-01-01 13:21:00,GNB-2214
Tankvorgang,,,,,,,,,,,,,21,2024-04-06 13:31:35,2024-01-01 13:26:00,WPH-4141
Tankvorgang,,,,,,,,,,,,,25,2024-04-06 13:31:35,2024-01-01 13:11:00,MOS-8398
PV-Anlage,01.01.2024 14:00:00,26.41,15,16.75,1.13,8.53,145.11,3215.26,18.81,807,74,-1545.15,,,,
Tankvorgang,,,,,,,,,,,,,8,2024-01-01 14:00:00,,SOC-7530
Tankvorgang,,,,,,,,,,,,,23,2024-01-01 14:00:00,,PMU-6526
Tankvorgang,,,,,,,,,,,,,10,2024-01-01 14:00:00,,EPG-0183
Tankvorgang,,,,,,,,,,,,,40,2024-01-01 14:00:00,,BIW-7472
Tankvorgang,,,,,,,,,,,,,78,2024-04-06 13:31:35,2024-01-01 14:12:00,PEZ-6840
Tankvorgang,,,,,,,,,,,,,41,2024-04-06 13:31:35,2024-01-01 14:26:00,HEV-4756
Tankvorgang,,,,,,,,,,,,,3,2024-04-06 13:31:35,2024-01-01 14:10:00,TJH-4451
Tankvorgang,,,,,,,,,,,,,99,2024-04-06 13:31:35,2024-01-01 14:14:00,EXV-9179
PV-Anlage,01.01.2024 15:00:00,29.91,16,20.76,0.5,8.65,354.28,1189.23,49.94,15,36,74.68,,,,
Tankvorgang,,,,,,,,,,,,,65,2024-01-01 15:00:00,,LVP-4848
Tankvorgang,,,,,,,,,,,,,99,2024-01-01 15:00:00,,YID-9914
Tankvorgang,,,,,,,,,,,,,97,2024-04-06 13:31:35,2024-01-01 15:17:00,FCR-8683
Tankvorgang,,,,,,,,,,,,,34,2024-04-06 13:31:35,2024-01-01 15:29:00,AJK-1195
PV-Anlage,01.01.2024 16:00:00,3.05,17,0.93,0.01,2.11,605.94,1387.82,62.81,742,2,29.59,,,,
Tankvorgang,,,,,,,,,,,,,63,2024-01-01 16:00:00,,VUE-2897
Tankvorgang,,,,,,,,,,,,,27,2024-01-01 16:00:00,,CLN-0191
Tankvorgang,,,,,,,,,,,,,40,2024-01-01 16:00:00,,CIE-2848
Tankvorgang,,,,,,,,,,,,,83,2024-01-01 16:00:00,,FCS-5154
Tankvorgang,,,,,,,,,,,,,50,2024-04-06 13:31:35,2024-01-01 16:21:00,OHZ-9905
Tankvorgang,,,,,,,,,,,,,83,2024-04-06 13:31:35,2024-01-01 16:18:00,LRP-5008
Tankvorgang,,,,,,,,,,,,,78,2024-04-06 13:31:35,2024-01-01 16:27:00,LAR-5988
Tankvorgang,,,,,,,,,,,,,11,2024-04-06 13:31:35,2024-01-01 16:28:00,PBA-4261
PV-Anlage,01.01.2024 17:00:00,64.69,18,45.64,5.57,13.48,532.1,3718.66,71.47,91,43,-1221.87,,,,
Tankvorgang,,,,,,,,,,,,,27,2024-01-01 17:00:00,,XGD-6773
Tankvorgang,,,,,,,,,,,,,57,2024-04-06 13:31:35,2024-01-01 17:11:00,LVT-2952
PV-Anlage,01.01.2024 18:00:00,20.79,19,10.38,6.29,4.12,1724.83,863.26,17.83,389,73,712.69,,,,
Tankvorgang,,,,,,,,,,,,,12,2024-01-01 18:00:00,,WUY-4936
Tankvorgang,,,,,,,,,,,,,61,2024-01-01 18:00:00,,WLF-9151
Tankvorgang,,,,,,,,,,,,,16,2024-01-01 18:00:00,,HAS-1558
Tankvorgang,,,,,,,,,,,,,26,2024-01-01 18:00:00,,GYX-2222
Tankvorgang,,,,,,,,,,,,,82,2024-01-01 18:00:00,,WJE-5419
Tankvorgang,,,,,,,,,,,,,9,2024-04-06 13:31:35,2024-01-01 18:22:00,YBR-7985
Tankvorgang,,,,,,,,,,,,,38,2024-04-06 13:31:35,2024-01-01 18:25:00,DFR-1666
Tankvorgang,,,,,,,,,,,,,1,2024-04-06 13:31:35,2024-01-01 18:19:00,EEA-2309
Tankvorgang,,,,,,,,,,,,,14,2024-04-06 13:31:35,2024-01-01 18:25:00,OEV-4096
Tankvorgang,,,,,,,,,,,,,57,2024-04-06 13:31:35,2024-01-01 18:15:00,QRR-4642
PV-Anlage,01.01.2024 19:00:00,74.21,20,38.92,14.33,20.96,812.34,2361.91,10.98,838,79,1820.14,,,,
Tankvorgang,,,,,,,,,,,,,71,2024-01-01 19:00:00,,INN-4750
Tankvorgang,,,,,,,,,,,,,35,2024-01-01 19:00:00,,LVY-4077
Tankvorgang,,,,,,,,,,,,,48,2024-04-06 13:31:35,2024-01-01 19:10:00,WNP-7378
Tankvorgang,,,,,,,,,,,,,41,2024-04-06 13:31:35,2024-01-01 19:30:00,BHM-8453
PV-Anlage,01.01.2024 20:00:00,52.44,21,48.19,0.97,3.28,1343.13,2345.5,84.29,772,90,1506.71,,,,
PV-Anlage,01.01.2024 21:00:00,19.26,22,5.41,13.3,0.55,39.51,2651.79,71.32,0,39,1919.0,,,,
Tankvorgang,,,,,,,,,,,,,6,2024-01-01 21:00:00,,UHM-4035
Tankvorgang,,,,,,,,,,,,,54,2024-04-06 13:31:35,2024-01-01 21:23:00,CHX-5973
PV-Anlage,01.01.2024 22:00:00,15.01,23,7.93,4.22,2.86,124.09,2044.23,22.39,79,72,186.91,,,,
Tankvorgang,,,,,,,,,,,,,39,2024-01-01 22:00:00,,WVD-0727
Tankvorgang,,,,,,,,,,,,,5,2024-01-01 22:00:00,,KHX-0618
Tankvorgang,,,,,,,,,,,,,22,2024-01-01 22:00:00,,GRJ-0671
Tankvorgang,,,,,,,,,,,,,68,2024-01-01 22:00:00,,XXR-0513
Tankvorgang,,,,,,,,,,,,,61,2024-01-01 22:00:00,,XMW-4385
Tankvorgang,,,,,,,,,,,,,12,2024-04-06 13:31:35,2024-01-01 22:29:00,TPC-5877
Tankvorgang,,,,,,,,,,,,,36,2024-04-06 13:31:35,2024-01-01 22:24:00,KGS-7299
Tankvorgang,,,,,,,,,,,,,25,2024-04-06 13:31:35,2024-01-01 22:11:00,THD-3761
Tankvorgang,,,,,,,,,,,,,32,2024-04-06 13:31:35,2024-01-01 22:11:00,DQY-3643
Tankvorgang,,,,,,,,,,,,,60,2024-04-06 13:31:35,2024-01-01 22:23:00,DGH-0153
PV-Anlage,01.01.2024 23:00:00,6.91,24,4.74,1.53,0.64,1591.55,1429.56,23.45,615,75,430.82,,,,
Tankvorgang,,,,,,,,,,,,,48,2024-01-01 23:00:00,,YWP-4844
Tankvorgang,,,,,,,,,,,,,100,2024-04-06 13:31:35,2024-01-01 23:13:00,GBD-7363
PV-Anlage,02.01.2024 00:00:00,42.96,25,3.79,15.32,23.85,892.24,3010.24,61.36,102,52,377.2,,,,
Tankvorgang,,,,,,,,,,,,,35,2024-01-02 00:00:00,,LRU-4702
Tankvorgang,,,,,,,,,,,,,45,2024-04-06 13:31:35,2024-01-02 00:17:00,IFQ-0834
PV-Anlage,02.01.2024 01:00:00,41.32,26,2.56,5.31,33.45,376.08,3957.59,98.64,165,69,1848.37,,,,
Tankvorgang,,,,,,,,,,,,,15,2024-01-02 01:00:00,,SPB-3598
Tankvorgang,,,,,,,,,,,,,59,2024-01-02 01:00:00,,KZQ-3073
Tankvorgang,,,,,,,,,,,,,44,2024-01-02 01:00:00,,ISU-7275
Tankvorgang,,,,,,,,,,,,,37,2024-01-02 01:00:00,,MND-2117
Tankvorgang,,,,,,,,,,,,,68,2024-01-02 01:00:00,,LEY-5251
Tankvorgang,,,,,,,,,,,,,76,2024-04-06 13:31:35,2024-01-02 01:16:00,ESO-8370
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 01:16:00,QUT-3154
Tankvorgang,,,,,,,,,,,,,49,2024-04-06 13:31:35,2024-01-02 01:13:00,DYW-3368
Tankvorgang,,,,,,,,,,,,,39,2024-04-06 13:31:35,2024-01-02 01:18:00,PWH-0798
Tankvorgang,,,,,,,,,,,,,89,2024-04-06 13:31:35,2024-01-02 01:25:00,OGN-8467
PV-Anlage,02.01.2024 02:00:00,75.75,27,41.66,1.85,32.24,1460.34,1050.52,33.39,162,77,-1914.37,,,,
Tankvorgang,,,,,,,,,,,,,31,2024-01-02 02:00:00,,LAR-7208
Tankvorgang,,,,,,,,,,,,,61,2024-01-02 02:00:00,,DUC-6736
Tankvorgang,,,,,,,,,,,,,54,2024-01-02 02:00:00,,ETB-6496
Tankvorgang,,,,,,,,,,,,,57,2024-04-06 13:31:35,2024-01-02 02:15:00,KZB-4628
Tankvorgang,,,,,,,,,,,,,48,2024-04-06 13:31:35,2024-01-02 02:15:00,NSX-2426
Tankvorgang,,,,,,,,,,,,,78,2024-04-06 13:31:35,2024-01-02 02:24:00,DQD-4203
PV-Anlage,02.01.2024 03:00:00,84.59,28,77.66,2.75,4.18,328.68,1739.44,17.73,121,96,-816.19,,,,
Tankvorgang,,,,,,,,,,,,,31,2024-01-02 03:00:00,,EOG-1730
Tankvorgang,,,,,,,,,,,,,13,2024-01-02 03:00:00,,TGY-6894
Tankvorgang,,,,,,,,,,,,,1,2024-01-02 03:00:00,,ZIY-9108
Tankvorgang,,,,,,,,,,,,,14,2024-01-02 03:00:00,,OLE-3653
Tankvorgang,,,,,,,,,,,,,13,2024-04-06 13:31:35,2024-01-02 03:21:00,WZI-8696
Tankvorgang,,,,,,,,,,,,,37,2024-04-06 13:31:35,2024-01-02 03:30:00,THJ-8775
Tankvorgang,,,,,,,,,,,,,59,2024-04-06 13:31:35,2024-01-02 03:26:00,EHV-9232
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 03:21:00,PVZ-8465
PV-Anlage,02.01.2024 04:00:00,99.62,29,31.11,64.66,3.85,550.48,1818.99,65.98,872,68,982.59,,,,
Tankvorgang,,,,,,,,,,,,,15,2024-01-02 04:00:00,,PUP-5030
Tankvorgang,,,,,,,,,,,,,54,2024-01-02 04:00:00,,IEN-0848
Tankvorgang,,,,,,,,,,,,,63,2024-04-06 13:31:35,2024-01-02 04:23:00,ZLR-3328
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 04:22:00,EFM-4914
PV-Anlage,02.01.2024 05:00:00,35.62,30,4.1,15.28,16.24,1863.96,2486.04,13.85,214,8,822.61,,,,
Tankvorgang,,,,,,,,,,,,,75,2024-01-02 05:00:00,,WDH-6737
Tankvorgang,,,,,,,,,,,,,4,2024-01-02 05:00:00,,XSZ-8235
Tankvorgang,,,,,,,,,,,,,11,2024-01-02 05:00:00,,JSO-3284
Tankvorgang,,,,,,,,,,,,,12,2024-04-06 13:31:35,2024-01-02 05:15:00,MID-3471
Tankvorgang,,,,,,,,,,,,,13,2024-04-06 13:31:35,2024-01-02 05:11:00,ODQ-0786
Tankvorgang,,,,,,,,,,,,,61,2024-04-06 13:31:35,2024-01-02 05:30:00,ANI-1936
PV-Anlage,02.01.2024 06:00:00,4.91,31,1.93,2.03,0.95,1354.57,3539.04,33.56,819,3,623.34,,,,
Tankvorgang,,,,,,,,,,,,,1,2024-01-02 06:00:00,,OPU-9238
Tankvorgang,,,,,,,,,,,,,25,2024-01-02 06:00:00,,OBE-2890
Tankvorgang,,,,,,,,,,,,,43,2024-04-06 13:31:35,2024-01-02 06:10:00,BIE-2929
Tankvorgang,,,,,,,,,,,,,5,2024-04-06 13:31:35,2024-01-02 06:17:00,MSK-7569
PV-Anlage,02.01.2024 07:00:00,7.71,32,6.6,0.63,0.48,1732.02,1984.56,0.73,756,1,1013.91,,,,
Tankvorgang,,,,,,,,,,,,,19,2024-01-02 07:00:00,,IQO-1583
Tankvorgang,,,,,,,,,,,,,49,2024-04-06 13:31:35,2024-01-02 07:22:00,CJA-9153
PV-Anlage,02.01.2024 08:00:00,54.15,33,9.52,36.04,8.59,1857.06,311.34,63.13,107,48,-1186.18,,,,
Tankvorgang,,,,,,,,,,,,,7,2024-01-02 08:00:00,,TNL-1246
Tankvorgang,,,,,,,,,,,,,60,2024-01-02 08:00:00,,PIU-6413
Tankvorgang,,,,,,,,,,,,,6,2024-01-02 08:00:00,,ZYM-5403
Tankvorgang,,,,,,,,,,,,,69,2024-01-02 08:00:00,,KWL-3268
Tankvorgang,,,,,,,,,,,,,58,2024-01-02 08:00:00,,GDN-3285
Tankvorgang,,,,,,,,,,,,,45,2024-04-06 13:31:35,2024-01-02 08:15:00,PTU-5102
Tankvorgang,,,,,,,,,,,,,21,2024-04-06 13:31:35,2024-01-02 08:26:00,IXC-5106
Tankvorgang,,,,,,,,,,,,,88,2024-04-06 13:31:35,2024-01-02 08:19:00,GYV-1039
Tankvorgang,,,,,,,,,,,,,97,2024-04-06 13:31:35,2024-01-02 08:20:00,HBK-5812
Tankvorgang,,,,,,,,,,,,,12,2024-04-06 13:31:35,2024-01-02 08:19:00,JDL-9467
PV-Anlage,02.01.2024 09:00:00,68.66,34,66.7,0.59,1.37,566.49,3075.2,64.09,760,52,-1419.34,,,,
Tankvorgang,,,,,,,,,,,,,35,2024-01-02 09:00:00,,IEL-2170
Tankvorgang,,,,,,,,,,,,,14,2024-01-02 09:00:00,,RBY-6507
Tankvorgang,,,,,,,,,,,,,81,2024-01-02 09:00:00,,MHJ-4618
Tankvorgang,,,,,,,,,,,,,98,2024-04-06 13:31:35,2024-01-02 09:15:00,LTI-3568
Tankvorgang,,,,,,,,,,,,,59,2024-04-06 13:31:35,2024-01-02 09:19:00,EIO-9501
Tankvorgang,,,,,,,,,,,,,17,2024-04-06 13:31:35,2024-01-02 09:26:00,JCV-3070
PV-Anlage,02.01.2024 10:00:00,87.88,35,16.0,38.74,33.14,163.63,3671.92,15.12,30,96,-508.15,,,,
Tankvorgang,,,,,,,,,,,,,64,2024-01-02 10:00:00,,JPO-2520
Tankvorgang,,,,,,,,,,,,,63,2024-04-06 13:31:35,2024-01-02 10:22:00,WTG-8860
PV-Anlage,02.01.2024 11:00:00,39.13,36,28.46,2.73,7.94,1732.16,3528.5,12.64,904,47,1030.4,,,,
Tankvorgang,,,,,,,,,,,,,12,2024-01-02 11:00:00,,SLB-0081
Tankvorgang,,,,,,,,,,,,,56,2024-04-06 13:31:35,2024-01-02 11:19:00,QSZ-0526
PV-Anlage,02.01.2024 12:00:00,67.06,37,22.16,32.97,11.93,806.31,994.48,58.75,572,88,878.13,,,,
Tankvorgang,,,,,,,,,,,,,15,2024-01-02 12:00:00,,KHS-8992
Tankvorgang,,,,,,,,,,,,,14,2024-01-02 12:00:00,,NKE-5187
Tankvorgang,,,,,,,,,,,,,10,2024-01-02 12:00:00,,KST-3551
Tankvorgang,,,,,,,,,,,,,13,2024-04-06 13:31:35,2024-01-02 12:25:00,ICX-8134
Tankvorgang,,,,,,,,,,,,,62,2024-04-06 13:31:35,2024-01-02 12:23:00,TGE-0904
Tankvorgang,,,,,,,,,,,,,11,2024-04-06 13:31:35,2024-01-02 12:10:00,KIO-7332
PV-Anlage,02.01.2024 13:00:00,13.08,38,8.28,4.02,0.78,1217.25,1764.7,78.59,96,79,1688.66,,,,
PV-Anlage,02.01.2024 14:00:00,3.11,39,2.17,0.46,0.48,1085.32,2268.86,36.45,159,63,1114.5,,,,
Tankvorgang,,,,,,,,,,,,,43,2024-01-02 14:00:00,,XEI-9896
Tankvorgang,,,,,,,,,,,,,79,2024-01-02 14:00:00,,HDS-9328
Tankvorgang,,,,,,,,,,,,,5,2024-01-02 14:00:00,,TDA-3478
Tankvorgang,,,,,,,,,,,,,96,2024-04-06 13:31:35,2024-01-02 14:19:00,TLT-3352
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 14:20:00,MZG-7996
Tankvorgang,,,,,,,,,,,,,10,2024-04-06 13:31:35,2024-01-02 14:13:00,SRR-3585
PV-Anlage,02.01.2024 15:00:00,77.07,40,17.63,20.31,39.13,827.33,2951.34,95.19,254,42,979.8,,,,
Tankvorgang,,,,,,,,,,,,,64,2024-01-02 15:00:00,,XAH-0787
Tankvorgang,,,,,,,,,,,,,68,2024-01-02 15:00:00,,HZG-8537
Tankvorgang,,,,,,,,,,,,,87,2024-01-02 15:00:00,,IZK-6627
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 15:29:00,EPI-9016
Tankvorgang,,,,,,,,,,,,,30,2024-04-06 13:31:35,2024-01-02 15:14:00,LQK-8382
Tankvorgang,,,,,,,,,,,,,60,2024-04-06 13:31:35,2024-01-02 15:21:00,QGE-4680
PV-Anlage,02.01.2024 16:00:00,45.74,41,16.84,20.89,8.01,523.9,2469.5,85.28,98,33,1994.94,,,,
Tankvorgang,,,,,,,,,,,,,67,2024-01-02 16:00:00,,OGA-9534
Tankvorgang,,,,,,,,,,,,,11,2024-04-06 13:31:35,2024-01-02 16:25:00,JXB-6769
PV-Anlage,02.01.2024 17:00:00,12.58,42,11.41,0.22,0.95,1050.37,1217.71,48.18,303,90,-217.96,,,,
Tankvorgang,,,,,,,,,,,,,100,2024-01-02 17:00:00,,IES-1425
Tankvorgang,,,,,,,,,,,,,72,2024-01-02 17:00:00,,QDH-8492
Tankvorgang,,,,,,,,,,,,,12,2024-04-06 13:31:35,2024-01-02 17:29:00,ZWF-4965
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-02 17:11:00,TXL-2111
PV-Anlage,02.01.2024 18:00:00,22.81,43,1.54,12.08,9.19,715.12,2763.18,62.79,87,11,1727.37,,,,
Tankvorgang,,,,,,,,,,,,,93,2024-01-02 18:00:00,,ZAD-0983
Tankvorgang,,,,,,,,,,,,,66,2024-01-02 18:00:00,,BKH-3126
Tankvorgang,,,,,,,,,,,,,79,2024-01-02 18:00:00,,OLO-5899
Tankvorgang,,,,,,,,,,,,,72,2024-04-06 13:31:35,2024-01-02 18:18:00,MEW-3927
Tankvorgang,,,,,,,,,,,,,7,2024-04-06 13:31:35,2024-01-02 18:15:00,WAY-0090
Tankvorgang,,,,,,,,,,,,,16,2024-04-06 13:31:35,2024-01-02 18:11:00,EJP-1937
PV-Anlage,02.01.2024 19:00:00,53.45,44,18.29,6.64,28.52,1279.35,3834.76,28.94,589,86,-849.63,,,,
Tankvorgang,,,,,,,,,,,,,63,2024-01-02 19:00:00,,PUZ-2080
Tankvorgang,,,,,,,,,,,,,14,2024-01-02 19:00:00,,MIG-1311
Tankvorgang,,,,,,,,,,,,,92,2024-01-02 19:00:00,,ORH-8781
Tankvorgang,,,,,,,,,,,,,59,2024-01-02 19:00:00,,SAT-3117
Tankvorgang,,,,,,,,,,,,,38,2024-04-06 13:31:35,2024-01-02 19:22:00,DSW-5012
Tankvorgang,,,,,,,,,,,,,31,2024-04-06 13:31:35,2024-01-02 19:27:00,ZVD-2838
Tankvorgang,,,,,,,,,,,,,82,2024-04-06 13:31:35,2024-01-02 19:23:00,JVL-1361
Tankvorgang,,,,,,,,,,,,,81,2024-04-06 13:31:35,2024-01-02 19:24:00,GHQ-1020
PV-Anlage,02.01.2024 20:00:00,46.02,45,32.05,11.12,2.85,581.22,405.37,23.65,306,27,489.78,,,,
Tankvorgang,,,,,,,,,,,,,30,2024-01-02 20:00:00,,UUA-5464
Tankvorgang,,,,,,,,,,,,,35,2024-01-02 20:00:00,,FJL-9138
Tankvorgang,,,,,,,,,,,,,45,2024-01-02 20:00:00,,OQL-2471
Tankvorgang,,,,,,,,,,,,,80,2024-01-02 20:00:00,,PWA-1549
Tankvorgang,,,,,,,,,,,,,58,2024-01-02 20:00:00,,KBR-9208
Tankvorgang,,,,,,,,,,,,,47,2024-04-06 13:31:35,2024-01-02 20:29:00,FLL-1977
Tankvorgang,,,,,,,,,,,,,89,2024-04-06 13:31:35,2024-01-02 20:15:00,NAH-0086
