Tankstellen-ID,Startzeit,Endzeit,Fahrzeugkennzeichen
47,2024-04-06 14:30:17,,LXV-2931
60,2024-04-06 14:30:17,,DTB-3317
14,2024-04-06 14:30:17,,LIN-4667
23,2024-04-06 14:30:17,,SFU-5011
22,2024-04-06 14:30:17,,YFH-1652
87,2024-04-06 14:30:17,,EFU-0315
89,2024-04-06 14:30:17,,CDE-6062
8,2024-04-06 14:30:17,,UPI-4440
36,2024-04-06 14:30:17,,JVE-0602
6,2024-04-06 14:30:17,,EMA-4285
89,2024-04-06 14:30:17,,OWG-0051
86,2024-04-06 14:30:17,,YRJ-1942
45,2024-04-06 14:30:17,,MGG-8171
68,2024-04-06 14:30:17,,VUD-9522
32,2024-04-06 14:30:17,,TKD-6400
66,2024-04-06 14:30:17,,TFO-5039
83,2024-04-06 14:30:17,,GQX-2683
37,2024-04-06 14:30:17,,LLA-7579
34,2024-04-06 14:30:17,,VSW-1581
66,2024-04-06 14:30:17,,AEW-6043
53,2024-04-06 14:30:17,,AZJ-7676
49,2024-04-06 14:30:17,,DKQ-4770
53,2024-04-06 14:30:17,,VXT-5632
75,2024-04-06 14:30:17,,IMF-2708
80,2024-04-06 14:30:17,,MQV-9090
34,2024-04-06 14:30:17,,VAJ-8940
38,2024-04-06 14:30:17,,BMF-6245
70,2024-04-06 14:30:17,,PMM-4748
26,2024-04-06 14:30:17,,XVX-5781
18,2024-04-06 14:30:17,,KJA-5887
73,2024-04-06 14:30:17,,YJQ-7905
81,2024-04-06 14:30:17,,IVK-5597
24,2024-04-06 14:30:17,,BWJ-8874
42,2024-04-06 14:30:17,,WJI-2660
48,2024-04-06 14:30:17,,MWC-8711
53,2024-04-06 14:30:17,,RJY-9293
32,2024-04-06 14:30:17,,QNF-4261
52,2024-04-06 14:30:17,,BZZ-8877
58,2024-04-06 14:30:17,,GPH-4991
17,2024-04-06 14:30:17,,DPW-1054
41,2024-04-06 14:30:17,,YOF-7029
21,2024-04-06 14:30:17,,TVW-9835
99,2024-04-06 14:30:17,,LFR-4230
4,2024-04-06 14:30:17,,GTM-9827
8,2024-04-06 14:30:17,,BVX-0533
45,2024-04-06 14:30:17,,OQZ-5504
10,2024-04-06 14:30:17,,OGJ-1390
95,2024-04-06 14:30:17,,DRU-0572
9,2024-04-06 14:30:17,,OVN-6773
15,2024-04-06 14:30:17,,KEW-2743
61,2024-04-06 14:30:17,,MXJ-1076
99,2024-04-06 14:30:17,,HOF-8832
39,2024-04-06 14:30:17,,UEZ-8944
19,2024-04-06 14:30:17,,MMU-8485
88,2024-04-06 14:30:17,,QNW-8974
85,2024-04-06 14:30:17,,ARG-1598
73,2024-04-06 14:30:17,,CES-7075
51,2024-04-06 14:30:17,,WQH-7695
17,2024-04-06 14:30:17,,QIQ-5628
89,2024-04-06 14:30:17,,LIA-8638
44,2024-04-06 14:30:17,,JSO-5369
45,2024-04-06 14:30:17,,POC-7766
87,2024-04-06 14:30:17,,MRM-9934
50,2024-04-06 14:30:17,,OPU-1826
52,2024-04-06 14:30:17,,SHQ-9298
47,2024-04-06 14:30:17,,AEV-8740
62,2024-04-06 14:30:17,,TEA-6357
78,2024-04-06 14:30:17,,VHX-3936
76,2024-04-06 14:30:17,,WRU-3785
62,2024-04-06 14:30:17,,MSA-8325
30,2024-04-06 14:30:17,,PAL-0730
78,2024-04-06 14:30:17,,FOR-8529
13,2024-04-06 14:30:17,,KTI-1550
42,2024-04-06 14:30:17,,ZKS-3433
83,2024-04-06 14:30:17,,PUX-3883
9,2024-04-06 14:30:17,,OMG-4705
80,2024-04-06 14:30:17,,HND-6569
54,2024-04-06 14:30:17,,IKQ-3802
11,2024-04-06 14:30:17,,MAN-0059
39,2024-04-06 14:30:17,,ZER-6861
63,2024-04-06 14:30:17,,BZS-8385
43,2024-04-06 14:30:17,,KAR-5353
89,2024-04-06 14:30:17,,EHW-7750
18,2024-04-06 14:30:17,,GTH-9866
27,2024-04-06 14:30:17,,PRI-9422
73,2024-04-06 14:30:17,,VTJ-1202
52,2024-04-06 14:30:17,,PHX-3748
28,2024-04-06 14:30:17,,DAD-9433
3,2024-04-06 14:30:17,,MCX-1239
94,2024-04-06 14:30:17,,YLN-9428
40,2024-04-06 14:30:17,,AGS-6254
15,2024-04-06 14:30:17,,UUO-1426
4,2024-04-06 14:30:17,,UMY-5856
40,2024-04-06 14:30:17,,HXU-9789
90,2024-04-06 14:30:17,,HHP-3277
84,2024-04-06 14:30:17,,KKP-2568
23,2024-04-06 14:30:17,,GEJ-6013
95,2024-04-06 14:30:17,,YAS-5604
15,2024-04-06 14:30:17,,AUS-3491
49,2024-04-06 14:30:17,,SJO-8809
35,2024-04-06 14:30:17,,JLK-8532
67,2024-04-06 14:30:17,,LHR-6342
39,2024-04-06 14:30:17,,KSL-7563
53,2024-04-06 14:30:17,,HQS-4940
4,2024-04-06 14:30:17,,LTV-1195
87,2024-04-06 14:30:17,,HGP-5279
70,2024-04-06 14:30:17,,VSS-1673
98,2024-04-06 14:30:17,,MNC-3225
17,2024-04-06 14:30:17,,MOB-0037
91,2024-04-06 14:30:17,,LNF-9074
62,2024-04-06 14:30:17,,CVD-1095
71,2024-04-06 14:30:17,,HVG-9366
15,2024-04-06 14:30:17,,VYP-1473
66,2024-04-06 14:30:17,,BHY-5776
96,2024-04-06 14:30:17,,XXT-3194
81,2024-04-06 14:30:17,,YPU-8918
37,2024-04-06 14:30:17,,LJK-2933
81,2024-04-06 14:30:17,,XNW-9447
45,2024-04-06 14:30:17,,WLC-1592
88,2024-04-06 14:30:17,,ZES-2757
37,2024-04-06 14:30:17,,ZUI-5241
68,2024-04-06 14:30:17,,MLT-5259
10,2024-04-06 14:30:17,,EYY-3338
70,2024-04-06 14:30:17,,SGK-5027
67,2024-04-06 14:30:17,,IMJ-2198
10,2024-04-06 14:30:17,,KFQ-0937
64,2024-04-06 14:30:17,,DAN-9174
12,2024-04-06 14:30:17,,XFQ-9323
31,2024-04-06 14:30:17,,LEV-6250
67,2024-04-06 14:30:17,,ACC-0207
11,2024-04-06 14:30:17,,FWC-6086
58,2024-04-06 14:30:17,,MQH-0210
3,2024-04-06 14:30:17,,HGR-1374
70,2024-04-06 14:30:17,,NXF-1687
21,2024-04-06 14:30:17,,OCG-7442
79,2024-04-06 14:30:17,,XAJ-3027
42,2024-04-06 14:30:17,,LHG-6298
86,2024-04-06 14:30:17,,PYA-6528
71,2024-04-06 14:30:17,,QLM-3429
49,2024-04-06 14:30:17,,LRZ-8907
52,2024-04-06 14:30:17,,HBR-7130
82,2024-04-06 14:30:17,,NER-0700
74,2024-04-06 14:30:17,,DPR-4533
89,2024-04-06 14:30:17,,VOC-8657
37,2024-04-06 14:30:17,,LMA-0680
54,2024-04-06 14:30:17,,OYM-0508
27,2024-04-06 14:30:17,,CSU-9454
23,2024-04-06 14:30:17,,UVO-3777
49,2024-04-06 14:30:17,,HUX-5372
70,2024-04-06 14:30:17,,ZNA-8266
11,2024-04-06 14:30:17,,VYV-4755
40,2024-04-06 14:30:17,,ZQK-7213
71,2024-04-06 14:30:17,,FRS-5021
97,2024-04-06 14:30:17,,VLB-4391
9,2024-04-06 14:30:17,,FRM-1128
66,2024-04-06 14:30:17,,AJX-4038
49,2024-04-06 14:30:17,,GEY-1664
84,2024-04-06 14:30:17,,BFJ-0768
90,2024-04-06 14:30:17,,IUA-6376
22,2024-04-06 14:30:17,,NZE-8011
16,2024-04-06 14:30:17,,BBK-3131
72,2024-04-06 14:30:17,,MUN-5502
42,2024-04-06 14:30:17,,HTW-6073
70,2024-04-06 14:30:17,,RFS-1111
30,2024-04-06 14:30:17,,FBY-9093
43,2024-04-06 14:30:17,,ZUS-0929
83,2024-04-06 14:30:17,,ZJJ-7244
67,2024-04-06 14:30:17,,CDW-5378
27,2024-04-06 14:30:17,,PZA-5100
26,2024-04-06 14:30:17,,AYC-7243
41,2024-04-06 14:30:17,,WJN-1441
47,2024-04-06 14:30:17,,HYH-3183
85,2024-04-06 14:30:17,,LRP-0583
97,2024-04-06 14:30:17,,VVK-6089
26,2024-04-06 14:30:17,,RRP-8135
53,2024-04-06 14:30:17,,LRN-8178
89,2024-04-06 14:30:17,,KOB-3047
68,2024-04-06 14:30:17,,KWF-0707
54,2024-04-06 14:30:17,,GHA-4542
74,2024-04-06 14:30:17,,FVE-7524
52,2024-04-06 14:30:17,,PIE-0767
87,2024-04-06 14:30:17,,MSK-0891
41,2024-04-06 14:30:17,,LXQ-7436
12,2024-04-06 14:30:17,,LVI-1189
12,2024-04-06 14:30:17,,RBI-8387
87,2024-04-06 14:30:17,,DPO-9602
78,2024-04-06 14:30:17,,KOY-1764
2,2024-04-06 14:30:17,,QKL-8675
21,2024-04-06 14:30:17,,ZLC-9508
78,2024-04-06 14:30:17,,LWJ-7055
5,2024-04-06 14:30:17,,ZXN-8320
10,2024-04-06 14:30:17,,UNX-7259
55,2024-04-06 14:30:17,,NCO-3901
30,2024-04-06 14:30:17,,RCF-5631
100,2024-04-06 14:30:17,,BEB-2194
66,2024-04-06 14:30:17,,SQC-8182
85,2024-04-06 14:30:17,,BXB-1266
4,2024-04-06 14:30:17,,JQR-8465
89,2024-04-06 14:30:17,,DAL-6523
99,2024-04-06 14:30:17,,TPX-2989
47,2024-04-06 14:30:17,,QPP-3954
2,2024-04-06 14:30:17,,ESG-9452
28,2024-04-06 14:30:17,,GYS-2065
90,2024-04-06 14:30:17,,EUH-7825
41,2024-04-06 14:30:17,,UVY-4882
86,2024-04-06 14:30:17,,SQJ-9315
61,2024-04-06 14:30:17,,LZN-0548
46,2024-04-06 14:30:17,,VSJ-4778
86,2024-04-06 14:30:17,,RUW-5469
37,2024-04-06 14:30:17,,LEH-1081
15,2024-04-06 14:30:17,,ZLT-5112
9,2024-04-06 14:30:17,,XZU-3156
87,2024-04-06 14:30:17,,TOS-9210
18,2024-04-06 14:30:17,,YIO-3534
46,2024-04-06 14:30:17,,SHJ-2704
15,2024-04-06 14:30:17,,MOJ-2280
10,2024-04-06 14:30:17,,QDQ-7445
2,2024-04-06 14:30:17,,ZOU-0596
96,2024-04-06 14:30:17,,YGO-8079
57,2024-04-06 14:30:17,,EQA-3944
33,2024-04-06 14:30:17,,XUS-5668
85,2024-04-06 14:30:17,,HUT-0052
1,2024-04-06 14:30:17,,BOU-8577
96,2024-04-06 14:30:17,,YSL-0629
5,2024-04-06 14:30:17,,EJL-5348
97,2024-04-06 14:30:17,,ECY-4519
47,2024-04-06 14:30:17,,PCA-4057
70,2024-04-06 14:30:17,,XNA-3005
3,2024-04-06 14:30:17,,RSS-2650
88,2024-04-06 14:30:17,,KQT-6266
8,2024-04-06 14:30:17,,LHX-4137
70,2024-04-06 14:30:17,,AAU-0762
34,2024-04-06 14:30:17,,ZFD-0271
23,2024-04-06 14:30:17,,SAQ-2460
23,2024-04-06 14:30:17,,FSJ-5893
6,2024-04-06 14:30:17,,KJW-9027
76,2024-04-06 14:30:17,,WYW-5707
14,2024-04-06 14:30:17,,IUO-8442
43,2024-04-06 14:30:17,,LCD-3195
8,2024-04-06 14:30:17,,NLF-5852
59,2024-04-06 14:30:17,,YPF-2893
20,2024-04-06 14:30:17,,SAC-3415
61,2024-04-06 14:30:17,,ABT-4595
94,2024-04-06 14:30:17,,GFX-4390
16,2024-04-06 14:30:17,,KTN-7981
41,2024-04-06 14:30:17,,ZVB-5325
93,2024-04-06 14:30:17,,NMP-4364
26,2024-04-06 14:30:17,,WWD-3888
78,2024-04-06 14:30:17,,OMH-8793
94,2024-04-06 14:30:17,,PGM-1464
87,2024-04-06 14:30:17,,GRY-0592
92,2024-04-06 14:30:17,,WTH-5011
37,2024-04-06 14:30:17,,FVD-8511
24,2024-04-06 14:30:17,,WPI-1235
79,2024-04-06 14:30:17,,EXK-7520
92,2024-04-06 14:30:17,,ADE-3412
23,2024-04-06 14:30:17,,HOB-0247
6,2024-04-06 14:30:17,,IOP-1673
21,2024-04-06 14:30:17,,HHW-4289
8,2024-04-06 14:30:17,,FIS-2579
4,2024-04-06 14:30:17,,AFQ-4580
84,2024-04-06 14:30:17,,RBF-3311
6,2024-04-06 14:30:17,,MAJ-6773
56,2024-04-06 14:30:17,,NAF-6385
35,2024-04-06 14:30:17,,OQN-8574
88,2024-04-06 14:30:17,,DDI-2800
97,2024-04-06 14:30:17,,LHJ-3169
83,2024-04-06 14:30:17,,EJX-6655
67,2024-04-06 14:30:17,,UPC-8902
68,2024-04-06 14:30:17,,PDR-8593
49,2024-04-06 14:30:17,,GAZ-8979
15,2024-04-06 14:30:17,,YFK-5913
14,2024-04-06 14:30:17,,JWL-9271
65,2024-04-06 14:30:17,,UFM-9079
32,2024-04-06 14:30:17,,NUN-2891
15,2024-04-06 14:30:17,,XFW-1065
69,2024-04-06 14:30:17,,LUG-5476
66,2024-04-06 14:30:17,,SLD-5779
44,2024-04-06 14:30:17,,QSQ-7402
15,2024-04-06 14:30:17,,VTY-0219
29,2024-04-06 14:30:17,,SOO-7674
28,2024-04-06 14:30:17,,YDQ-9060
65,2024-04-06 14:30:17,,NVN-8802
14,2024-04-06 14:30:17,,IEL-2967
54,2024-04-06 14:30:17,,MZP-0725
13,2024-04-06 14:30:17,,MTR-1795
44,2024-04-06 14:30:17,,DOZ-5646
13,2024-04-06 14:30:17,,APW-9190
33,2024-04-06 14:30:17,,DDD-9607
66,2024-04-06 14:30:17,,LYV-8552
77,2024-04-06 14:30:17,,EJA-5858
77,2024-04-06 14:30:17,,LQI-9656
57,2024-04-06 14:30:17,,VJM-2214
46,2024-04-06 14:30:17,,DME-0537
85,2024-04-06 14:30:17,,VUR-5505
55,2024-04-06 14:30:17,,KRE-0788
46,2024-04-06 14:30:17,,NPO-3116
71,2024-04-06 14:30:17,,XTP-1581
16,2024-04-06 14:30:17,,SXX-5569
59,2024-04-06 14:30:17,,PFT-2059
20,2024-04-06 14:30:17,,SQU-9567
99,2024-04-06 14:30:17,,FRZ-1778
32,2024-04-06 14:30:17,,LVV-6467
30,2024-04-06 14:30:17,,IDJ-4505
11,2024-04-06 14:30:17,,NRM-9735
71,2024-04-06 14:30:17,,JSO-5131
3,2024-04-06 14:30:17,,JYF-0165
54,2024-04-06 14:30:17,,NFF-7106
59,2024-04-06 14:30:17,,WMG-5883
13,2024-04-06 14:30:17,,JIH-1153
44,2024-04-06 14:30:17,,TYN-9849
89,2024-04-06 14:30:17,,TFR-6847
50,2024-04-06 14:30:17,,BZP-2435
32,2024-04-06 14:30:17,,YDC-1594
62,2024-04-06 14:30:17,,PSF-7708
38,2024-04-06 14:30:17,,NKO-7636
100,2024-04-06 14:30:17,,JIL-2405
11,2024-04-06 14:30:17,,YBA-1648
3,2024-04-06 14:30:17,,SZI-0351
69,2024-04-06 14:30:17,,VCM-0700
49,2024-04-06 14:30:17,,IGL-8252
31,2024-04-06 14:30:17,,CEW-8538
52,2024-04-06 14:30:17,,OMN-6614
46,2024-04-06 14:30:17,,LKT-2624
89,2024-04-06 14:30:17,,FFH-9131
98,2024-04-06 14:30:17,,ZUB-1096
49,2024-04-06 14:30:17,,DBE-6936
42,2024-04-06 14:30:17,,ZUD-8965
77,2024-04-06 14:30:17,,NIO-9705
99,2024-04-06 14:30:17,,ZEV-6440
7,2024-04-06 14:30:17,,ZFL-7722
31,2024-04-06 14:30:17,,TVZ-3018
50,2024-04-06 14:30:17,,PXN-9616
80,2024-04-06 14:30:17,,FFP-8300
70,2024-04-06 14:30:17,,ZTL-9416
93,2024-04-06 14:30:17,,PDV-5211
9,2024-04-06 14:30:17,,SBL-0473
67,2024-04-06 14:30:17,,ZNL-6501
19,2024-04-06 14:30:17,,GCR-3269
71,2024-04-06 14:30:17,,ZXR-4614
97,2024-04-06 14:30:17,,WUP-2849
6,2024-04-06 14:30:17,,YPZ-1792
64,2024-04-06 14:30:17,,ZTY-2131
33,2024-04-06 14:30:17,,CIX-0404
22,2024-04-06 14:30:17,,BTQ-9519
53,2024-04-06 14:30:17,,PBL-2958
12,2024-04-06 14:30:17,,XSS-8563
20,2024-04-06 14:30:17,,VIN-7189
90,2024-04-06 14:30:17,,KXL-4428
58,2024-04-06 14:30:17,,ETO-1130
36,2024-04-06 14:30:17,,ADR-3351
40,2024-04-06 14:30:17,,PWQ-0599
40,2024-04-06 14:30:17,,BJZ-9188
30,2024-04-06 14:30:17,,EHQ-6147
22,2024-04-06 14:30:17,,LVT-2834
45,2024-04-06 14:30:17,,NXP-5296
73,2024-04-06 14:30:17,,KGW-5972
89,2024-04-06 14:30:17,,MSZ-2746
89,2024-04-06 14:30:17,,SQU-8002
87,2024-04-06 14:30:17,,HJX-9546
30,2024-04-06 14:30:17,,IJP-4829
7,2024-04-06 14:30:17,,TJN-4513
18,2024-04-06 14:30:17,,DCV-3735
49,2024-04-06 14:30:17,,SWR-8324
95,2024-04-06 14:30:17,,LZX-3742
95,2024-04-06 14:30:17,,CAZ-8208
44,2024-04-06 14:30:17,,GNF-5562
15,2024-04-06 14:30:17,,ZQA-8256
99,2024-04-06 14:30:17,,NFJ-1309
44,2024-04-06 14:30:17,,KIM-2046
5,2024-04-06 14:30:17,,JZF-5536
77,2024-04-06 14:30:17,,LDU-8996
22,2024-04-06 14:30:17,,XEW-8560
76,2024-04-06 14:30:17,,SVF-6407
8,2024-04-06 14:30:17,,KUX-1485
29,2024-04-06 14:30:17,,ETJ-3295
30,2024-04-06 14:30:17,,ULE-5765
1,2024-04-06 14:30:17,,ZLR-0011
4,2024-04-06 14:30:17,,ZFH-6794
37,2024-04-06 14:30:17,,WSZ-1300
82,2024-04-06 14:30:17,,YNO-5318
83,2024-04-06 14:30:17,,WVQ-4376
38,2024-04-06 14:30:17,,OOT-8212
46,2024-04-06 14:30:17,,MMH-4451
15,2024-04-06 14:30:17,,BGJ-8730
84,2024-04-06 14:30:17,,HMI-2694
9,2024-04-06 14:30:17,,PSE-6530
73,2024-04-06 14:30:17,,KMM-7315
63,2024-04-06 14:30:17,,PTE-3881
41,2024-04-06 14:30:17,,JFU-8656
69,2024-04-06 14:30:17,,XHF-5637
52,2024-04-06 14:30:17,,IFJ-0165
75,2024-04-06 14:30:17,,VQJ-1923
7,2024-04-06 14:30:17,,USY-9556
72,2024-04-06 14:30:17,,YHL-3694
5,2024-04-06 14:30:17,,LBL-2925
86,2024-04-06 14:30:17,,KZH-9384
76,2024-04-06 14:30:17,,KIA-3866
48,2024-04-06 14:30:17,,GNL-8315
88,2024-04-06 14:30:17,,ZDH-9668
57,2024-04-06 14:30:17,,EMD-1411
35,2024-04-06 14:30:17,,QSP-1596
93,2024-04-06 14:30:17,,YSF-3332
88,2024-04-06 14:30:17,,QBU-6945
14,2024-04-06 14:30:17,,PHU-9845
36,2024-04-06 14:30:17,,WLE-8288
3,2024-04-06 14:30:17,,GFY-0177
62,2024-04-06 14:30:17,,URA-7112
32,2024-04-06 14:30:17,,ABM-2506
39,2024-04-06 14:30:17,,KFT-6745
60,2024-04-06 14:30:17,,ECG-0482
2,2024-04-06 14:30:17,,RJP-3747
58,2024-04-06 14:30:17,,ZXO-6830
57,2024-04-06 14:30:17,,RYD-1334
70,2024-04-06 14:30:17,,MHL-4851
15,2024-04-06 14:30:17,,NRY-4283
100,2024-04-06 14:30:17,,GIE-5184
62,2024-04-06 14:30:17,,PBG-7061
46,2024-04-06 14:30:17,,RIH-8756
91,2024-04-06 14:30:17,,URP-8312
46,2024-04-06 14:30:17,,HUW-6121
32,2024-04-06 14:30:17,,HJA-0519
80,2024-04-06 14:30:17,,HWM-8457
54,2024-04-06 14:30:17,,EYQ-2557
62,2024-04-06 14:30:17,,OSB-5868
16,2024-04-06 14:30:17,,BIE-1688
18,2024-04-06 14:30:17,,EOH-5691
24,2024-04-06 14:30:17,,TVY-9743
80,2024-04-06 14:30:17,,ZIK-4415
51,2024-04-06 14:30:17,,DHG-6399
85,2024-04-06 14:30:17,,BYK-7387
29,2024-04-06 14:30:17,,GIW-3936
67,2024-04-06 14:30:17,,XHL-4476
52,2024-04-06 14:30:17,,NWA-3829
11,2024-04-06 14:30:17,,ANN-3344
2,2024-04-06 14:30:17,,HCZ-3617
16,2024-04-06 14:30:17,,GJZ-9701
10,2024-04-06 14:30:17,,HTI-2445
60,2024-04-06 14:30:17,,QFD-7967
63,2024-04-06 14:30:17,,DVS-3864
71,2024-04-06 14:30:17,,EPC-4189
25,2024-04-06 14:30:17,,VOH-3821
42,2024-04-06 14:30:17,,HBS-0471
15,2024-04-06 14:30:17,,XXY-4654
52,2024-04-06 14:30:17,,WEF-6599
35,2024-04-06 14:30:17,,GDF-4634
69,2024-04-06 14:30:17,,SLY-8335
49,2024-04-06 14:30:17,,FXF-7883
29,2024-04-06 14:30:17,,LAY-9579
100,2024-04-06 14:30:17,,EIA-6141
7,2024-04-06 14:30:17,,ZYX-7865
27,2024-04-06 14:30:17,,CQC-1401
43,2024-04-06 14:30:17,,QGH-7281
66,2024-04-06 14:30:17,,NLT-4254
3,2024-04-06 14:30:17,,PBU-3785
18,2024-04-06 14:30:17,,GVF-5590
47,2024-04-06 14:30:17,,WUL-6859
54,2024-04-06 14:30:17,,CNK-7280
42,2024-04-06 14:30:17,,WER-2665
82,2024-04-06 14:30:17,,ZBQ-5938
16,2024-04-06 14:30:17,,HJJ-7332
30,2024-04-06 14:30:17,,WZQ-8803
15,2024-04-06 14:30:17,,PSE-5589
54,2024-04-06 14:30:17,,FSJ-4550
2,2024-04-06 14:30:17,,SQV-1117
83,2024-04-06 14:30:17,,YBQ-2636
20,2024-04-06 14:30:17,,VLR-9652
3,2024-04-06 14:30:17,,MRG-4520
43,2024-04-06 14:30:17,,BLQ-7503
29,2024-04-06 14:30:17,,CNJ-6223
10,2024-04-06 14:30:17,,VLN-0529
2,2024-04-06 14:30:17,,JCY-8650
97,2024-04-06 14:30:17,,FYK-0615
59,2024-04-06 14:30:17,,SGK-2803
8,2024-04-06 14:30:17,,AQA-0754
61,2024-04-06 14:30:17,,UEN-3852
46,2024-04-06 14:30:17,,WAW-5682
56,2024-04-06 14:30:17,,IYI-2995
99,2024-04-06 14:30:17,,GTU-4443
74,2024-04-06 14:30:17,,IIJ-6068
40,2024-04-06 14:30:17,,CWD-6595
9,2024-04-06 14:30:17,,YRF-4630
34,2024-04-06 14:30:17,,BLN-7197
21,2024-04-06 14:30:17,,VGR-3079
20,2024-04-06 14:30:17,,RZQ-6058
59,2024-04-06 14:30:17,,NUA-7987
50,2024-04-06 14:30:17,,NGY-2442
91,2024-04-06 14:30:17,,UHW-3874
24,2024-04-06 14:30:17,,ASL-5239
86,2024-04-06 14:30:17,,MIG-6511
63,2024-04-06 14:30:17,,IFA-9837
46,2024-04-06 14:30:17,,SJW-2102
18,2024-04-06 14:30:17,,CAV-4388
67,2024-04-06 14:30:17,,NDZ-3732
42,2024-04-06 14:30:17,,SGS-6782
12,2024-04-06 14:30:17,,EEG-7519
95,2024-04-06 14:30:17,,KOP-9873
32,2024-04-06 14:30:17,,QOZ-7296
28,2024-04-06 14:30:17,,ILK-0471
12,2024-04-06 14:30:17,,GHQ-5951
6,2024-04-06 14:30:17,,ZWR-2098
56,2024-04-06 14:30:17,,UFE-7173
84,2024-04-06 14:30:17,,UXI-7834
26,2024-04-06 14:30:17,,NJZ-5767
42,2024-04-06 14:30:17,,WIH-8535
46,2024-04-06 14:30:17,,NMT-3829
30,2024-04-06 14:30:17,,MPB-0864
20,2024-04-06 14:30:17,,JKF-0443
58,2024-04-06 14:30:17,,ETE-0423
87,2024-04-06 14:30:17,,EZD-1835
100,2024-04-06 14:30:17,,FNG-7084
86,2024-04-06 14:30:17,,MCP-7716
55,2024-04-06 14:30:17,,MXZ-6212
18,2024-04-06 14:30:17,,CBB-7253
30,2024-04-06 14:30:17,,CIX-3064
75,2024-04-06 14:30:17,,VBK-7001
75,2024-04-06 14:30:17,,TWR-4982
70,2024-04-06 14:30:17,,LBO-4951
49,2024-04-06 14:30:17,,PYB-5704
22,2024-04-06 14:30:17,,TGA-0415
46,2024-04-06 14:30:17,,LSN-2075
26,2024-04-06 14:30:17,,PES-4466
85,2024-04-06 14:30:17,,XJQ-1087
86,2024-04-06 14:30:17,,SEF-2062
10,2024-04-06 14:30:17,,ZFX-0938
35,2024-04-06 14:30:17,,YTP-0109
73,2024-04-06 14:30:17,,ZNX-0591
97,2024-04-06 14:30:17,,EPV-1703
15,2024-04-06 14:30:17,,IPO-7445
80,2024-04-06 14:30:17,,DLA-5617
