Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,EL-Tank2,SoC,Leistung,Reichweite Elektroautos
PV-Anlage,02.01.2024 04:00:00,96.6,29,59.4,7.45,29.75,103.77,1584.36,58.21,79,174,17,1253.05,249.19
PV-Anlage,02.01.2024 05:00:00,76.29,30,34.93,28.42,12.94,866.1,1016.17,62.14,34,881,74,-856.94,283.2
PV-Anlage,02.01.2024 06:00:00,84.32,31,11.21,33.78,39.33,1127.28,1676.16,93.44,99,241,73,715.56,76.79
PV-Anlage,02.01.2024 07:00:00,56.9,32,44.65,10.12,2.13,244.9,63.46,88.58,87,49,28,1168.96,291.41
PV-Anlage,02.01.2024 08:00:00,81.64,33,68.06,11.84,1.74,713.49,1747.69,23.67,17,333,69,-1425.12,256.88
PV-Anlage,02.01.2024 09:00:00,89.96,34,76.77,1.32,11.87,827.48,1194.14,89.5,14,875,48,506.25,350.04
PV-Anlage,02.01.2024 10:00:00,65.49,35,20.26,40.73,4.5,436.49,3528.92,60.87,72,363,85,1807.35,471.63
PV-Anlage,02.01.2024 11:00:00,57.82,36,26.85,28.7,2.27,734.67,2464.28,67.82,45,108,53,-649.7,419.05
PV-Anlage,02.01.2024 12:00:00,5.1,37,2.92,0.97,1.21,1738.24,2663.37,41.73,82,830,94,1136.66,461.14
PV-Anlage,02.01.2024 13:00:00,25.58,38,17.96,1.8,5.82,1463.46,3840.45,53.39,56,726,17,-1887.82,423.7
PV-Anlage,02.01.2024 14:00:00,97.77,39,4.31,25.69,67.77,171.68,2133.37,94.41,92,618,98,1898.76,141.44
PV-Anlage,02.01.2024 15:00:00,33.85,40,24.76,1.11,7.98,1684.49,3448.28,0.74,78,439,9,1088.29,219.72
PV-Anlage,02.01.2024 16:00:00,40.79,41,11.65,14.99,14.15,1416.5,1675.09,83.19,18,868,78,813.78,288.77
PV-Anlage,02.01.2024 17:00:00,46.17,42,44.19,1.28,0.7,1482.77,2194.7,74.9,80,498,96,-1564.66,189.46
PV-Anlage,02.01.2024 18:00:00,22.76,43,17.57,2.25,2.94,1861.88,833.15,20.88,13,587,55,-250.64,265.43
PV-Anlage,02.01.2024 19:00:00,39.72,44,21.74,7.27,10.71,473.97,3004.9,75.08,28,237,100,980.64,225.77
PV-Anlage,02.01.2024 20:00:00,17.4,45,13.36,1.13,2.91,234.63,3398.41,38.92,4,968,21,-250.84,376.55
PV-Anlage,02.01.2024 21:00:00,21.29,46,3.31,15.56,2.42,1699.37,3738.52,49.52,55,194,29,-1520.87,339.78
PV-Anlage,02.01.2024 22:00:00,13.43,47,2.61,7.1,3.72,12.19,997.38,81.93,53,590,42,-392.51,267.39
PV-Anlage,02.01.2024 23:00:00,15.87,48,2.33,3.47,10.07,1127.64,1.44,77.39,66,572,85,486.26,347.37
PV-Anlage,03.01.2024 00:00:00,83.94,49,4.18,57.0,22.76,176.69,622.77,19.32,8,335,34,779.54,300.74
PV-Anlage,03.01.2024 01:00:00,5.9,50,2.54,3.3,0.06,856.31,2601.17,35.98,31,289,27,-1194.1,68.74
PV-Anlage,03.01.2024 02:00:00,27.37,51,0.05,4.54,22.78,514.57,166.47,87.78,80,631,64,-1106.7,172.56
PV-Anlage,03.01.2024 03:00:00,93.04,52,3.06,65.5,24.48,402.52,1021.25,36.07,0,678,30,-903.16,480.33
PV-Anlage,03.01.2024 04:00:00,81.35,53,31.43,22.03,27.89,109.9,3010.54,62.09,79,938,57,-280.67,432.79
PV-Anlage,03.01.2024 05:00:00,4.1,54,0.47,2.96,0.67,405.52,2555.01,71.36,65,850,6,1420.77,451.88
PV-Anlage,03.01.2024 06:00:00,36.74,55,15.75,20.41,0.58,1094.07,217.43,14.09,95,516,9,955.49,383.65
PV-Anlage,03.01.2024 07:00:00,9.72,56,1.35,6.95,1.42,1784.44,2786.42,80.92,40,175,81,949.45,248.3
PV-Anlage,03.01.2024 08:00:00,28.82,57,4.86,3.4,20.56,925.64,2877.9,25.32,92,447,11,-1655.36,450.2
PV-Anlage,03.01.2024 09:00:00,99.09,58,6.99,77.01,15.09,1843.88,420.32,86.77,67,724,23,-567.33,463.33
PV-Anlage,03.01.2024 10:00:00,6.41,59,2.46,0.64,3.31,963.19,3569.46,80.18,5,38,82,-657.21,324.42
PV-Anlage,03.01.2024 11:00:00,9.05,60,2.18,6.62,0.25,1431.13,3644.07,70.7,82,345,91,1653.99,132.66
PV-Anlage,03.01.2024 12:00:00,67.75,61,58.18,3.87,5.7,919.42,343.96,77.02,93,136,2,-259.63,430.4
PV-Anlage,03.01.2024 13:00:00,75.67,62,70.07,1.75,3.85,119.36,2142.4,64.38,55,379,0,291.63,228.66
PV-Anlage,03.01.2024 14:00:00,48.2,63,19.5,11.46,17.24,1046.27,1350.67,39.72,71,185,23,1152.41,279.74
PV-Anlage,03.01.2024 15:00:00,63.23,64,31.58,25.66,5.99,11.25,1278.24,92.61,34,20,8,-1098.57,172.02
PV-Anlage,03.01.2024 16:00:00,44.01,65,13.41,25.67,4.93,886.91,2103.11,69.58,30,667,29,-24.85,213.67
PV-Anlage,03.01.2024 17:00:00,71.36,66,48.62,2.05,20.69,423.49,2338.83,21.8,55,860,34,-1068.96,479.94
PV-Anlage,03.01.2024 18:00:00,33.08,67,24.51,6.74,1.83,1588.91,1338.58,70.8,99,888,94,-1432.74,199.69
PV-Anlage,03.01.2024 19:00:00,33.55,68,20.68,1.58,11.29,1027.22,3956.18,56.75,5,345,78,1323.48,289.22
PV-Anlage,03.01.2024 20:00:00,96.47,69,41.95,50.61,3.91,1726.78,559.34,38.56,99,828,47,-610.17,174.27
PV-Anlage,03.01.2024 21:00:00,52.24,70,29.68,5.71,16.85,1397.58,458.16,44.22,72,547,26,-294.25,402.13
PV-Anlage,03.01.2024 22:00:00,21.37,71,2.93,16.79,1.65,863.6,2778.74,85.79,88,850,5,-1612.37,183.61
PV-Anlage,03.01.2024 23:00:00,56.07,72,48.74,6.48,0.85,448.08,1056.79,92.23,1,737,1,576.66,360.01
PV-Anlage,04.01.2024 00:00:00,68.88,73,52.84,14.47,1.57,1629.23,3687.39,92.37,59,804,88,1075.49,492.37
PV-Anlage,04.01.2024 01:00:00,33.97,74,10.19,6.94,16.84,1749.3,3448.66,59.7,5,723,53,-1427.03,318.86
PV-Anlage,04.01.2024 02:00:00,17.14,75,1.44,1.83,13.87,349.98,2347.75,1.9,6,668,28,-1654.54,312.49
PV-Anlage,04.01.2024 03:00:00,92.29,76,1.55,59.67,31.07,243.2,3164.47,38.74,79,143,43,-1722.88,201.93
PV-Anlage,04.01.2024 04:00:00,98.85,77,90.62,1.69,6.54,348.25,2324.09,78.63,5,575,43,125.77,342.71
PV-Anlage,04.01.2024 05:00:00,77.45,78,14.9,32.49,30.06,1285.68,3866.41,68.25,26,246,74,1609.56,496.41
PV-Anlage,04.01.2024 06:00:00,72.7,79,26.68,23.17,22.85,694.02,1372.43,12.49,74,94,46,743.93,284.29
PV-Anlage,04.01.2024 07:00:00,65.74,80,5.7,7.27,52.77,332.5,2392.03,41.86,18,571,38,1553.96,289.23
PV-Anlage,04.01.2024 08:00:00,63.71,81,54.5,6.42,2.79,189.45,1521.21,15.38,3,40,57,-505.1,110.42
PV-Anlage,04.01.2024 09:00:00,58.6,82,57.53,0.56,0.51,1010.88,2179.32,90.3,41,174,41,1538.31,413.73
PV-Anlage,04.01.2024 10:00:00,63.22,83,47.89,13.31,2.02,186.92,2680.77,22.26,22,858,53,-1965.02,154.77
PV-Anlage,04.01.2024 11:00:00,14.58,84,11.71,0.25,2.62,1506.58,526.88,34.81,72,389,86,1682.82,174.04
PV-Anlage,04.01.2024 12:00:00,92.28,85,13.15,36.2,42.93,928.48,930.36,3.66,62,960,85,-1684.14,318.69
PV-Anlage,04.01.2024 13:00:00,91.72,86,15.3,47.65,28.77,533.75,1134.02,69.28,44,874,31,-1293.29,274.38
PV-Anlage,04.01.2024 14:00:00,13.67,87,0.54,1.13,12.0,1150.3,3374.51,52.15,44,459,35,-1984.06,249.87
PV-Anlage,04.01.2024 15:00:00,67.83,88,48.85,13.94,5.04,1853.85,651.42,30.72,22,808,58,-846.8,443.93
PV-Anlage,04.01.2024 16:00:00,12.01,89,5.22,5.09,1.7,637.04,889.48,85.82,27,642,44,302.82,489.33
PV-Anlage,04.01.2024 17:00:00,49.44,90,7.07,37.63,4.74,651.21,1891.06,34.67,86,904,82,14.42,429.32
PV-Anlage,04.01.2024 18:00:00,45.92,91,29.44,10.07,6.41,1266.14,1501.35,2.58,69,689,55,-8.14,69.2
PV-Anlage,04.01.2024 19:00:00,30.54,92,10.01,4.48,16.05,1089.06,2208.61,0.34,53,929,83,-1832.8,497.07
PV-Anlage,04.01.2024 20:00:00,13.08,93,1.31,0.05,11.72,609.14,242.96,93.18,90,320,36,-1858.6,490.9
PV-Anlage,04.01.2024 21:00:00,73.8,94,14.53,27.42,31.85,819.26,136.19,77.71,0,828,86,1437.49,127.54
PV-Anlage,04.01.2024 22:00:00,19.78,95,18.45,0.53,0.8,976.12,3632.0,82.66,33,536,98,853.29,125.21
PV-Anlage,04.01.2024 23:00:00,77.14,96,76.25,0.19,0.7,1951.46,2862.66,13.97,64,469,20,-1387.6,70.27
PV-Anlage,05.01.2024 00:00:00,72.84,97,70.0,0.16,2.68,1071.36,3672.54,97.23,99,260,23,-3.61,352.32
PV-Anlage,05.01.2024 01:00:00,10.28,98,5.44,1.47,3.37,219.99,1877.78,88.76,22,182,9,609.38,288.55
PV-Anlage,05.01.2024 02:00:00,54.54,99,12.48,37.24,4.82,723.62,2145.08,73.52,44,240,90,952.73,220.69
PV-Anlage,05.01.2024 03:00:00,24.97,100,9.48,4.45,11.04,1474.15,94.26,57.62,31,681,6,-527.1,425.03
PV-Anlage,05.01.2024 04:00:00,30.97,101,13.74,4.53,12.7,177.24,1253.85,21.78,90,290,4,-255.81,397.83
PV-Anlage,05.01.2024 05:00:00,49.75,102,48.77,0.46,0.52,155.44,710.57,12.69,65,134,53,-1371.33,311.25
PV-Anlage,05.01.2024 06:00:00,88.02,103,4.56,76.9,6.56,178.94,3690.9,26.13,81,717,52,-1085.62,257.05
PV-Anlage,05.01.2024 07:00:00,32.17,104,31.66,0.43,0.08,195.34,2058.14,82.48,88,597,95,-1695.6,399.64
PV-Anlage,05.01.2024 08:00:00,21.18,105,1.88,10.29,9.01,584.69,3845.77,54.68,45,266,23,1364.44,406.49
PV-Anlage,05.01.2024 09:00:00,7.82,106,3.47,1.67,2.68,1394.93,897.67,33.49,27,235,69,637.68,437.68
PV-Anlage,05.01.2024 10:00:00,80.23,107,57.2,6.81,16.22,1110.75,3355.47,32.75,52,721,14,-1253.84,218.17
PV-Anlage,05.01.2024 11:00:00,86.03,108,85.21,0.53,0.29,18.47,3526.43,74.05,87,740,64,-1998.16,411.97
PV-Anlage,05.01.2024 12:00:00,44.7,109,0.22,34.81,9.67,541.43,3684.38,46.45,2,314,75,1328.95,231.9
PV-Anlage,05.01.2024 13:00:00,78.29,110,57.15,17.9,3.24,1711.13,2030.23,22.69,24,535,53,230.89,147.88
PV-Anlage,05.01.2024 14:00:00,36.0,111,9.27,18.95,7.78,1504.52,485.17,8.26,97,869,49,1781.83,174.06
PV-Anlage,05.01.2024 15:00:00,0.67,112,0.34,0.16,0.17,449.04,1714.86,72.06,89,972,67,1094.26,230.5
PV-Anlage,05.01.2024 16:00:00,84.03,113,26.78,13.42,43.83,1540.47,1289.42,80.27,22,562,75,-1625.95,209.72
PV-Anlage,05.01.2024 17:00:00,80.99,114,80.63,0.32,0.04,1421.18,2733.37,81.68,91,111,55,-745.84,59.97
PV-Anlage,05.01.2024 18:00:00,41.42,115,1.69,30.43,9.3,1701.26,3653.52,47.75,44,681,5,1568.79,484.88
PV-Anlage,05.01.2024 19:00:00,73.11,116,29.87,40.62,2.62,306.46,3310.89,22.29,0,130,24,-1858.8,442.63
PV-Anlage,05.01.2024 20:00:00,46.94,117,37.97,4.99,3.98,1835.02,3397.39,89.55,79,643,78,1073.13,490.21
PV-Anlage,05.01.2024 21:00:00,33.04,118,11.38,6.19,15.47,597.56,3582.39,87.4,20,722,45,1244.45,200.37
PV-Anlage,05.01.2024 22:00:00,95.66,119,11.65,53.02,30.99,1775.55,2936.87,12.61,99,853,41,-528.53,95.49
PV-Anlage,05.01.2024 23:00:00,34.37,120,6.56,8.85,18.96,1421.74,1244.65,25.64,66,288,96,1947.66,403.96
PV-Anlage,06.01.2024 00:00:00,53.79,121,8.22,12.85,32.72,1303.25,3616.91,82.61,56,214,100,687.41,228.77
PV-Anlage,06.01.2024 01:00:00,16.4,122,8.76,5.85,1.79,559.75,2599.18,94.36,53,605,60,-1293.47,331.83
PV-Anlage,06.01.2024 02:00:00,97.82,123,79.97,17.31,0.54,917.44,1568.24,95.42,71,605,83,891.81,284.59
PV-Anlage,06.01.2024 03:00:00,99.02,124,96.6,0.32,2.1,572.24,1034.45,60.42,14,626,81,-1084.48,438.55
PV-Anlage,06.01.2024 04:00:00,31.58,125,24.94,0.94,5.7,1084.47,2348.61,31.52,35,465,21,938.82,163.63
PV-Anlage,06.01.2024 05:00:00,33.78,126,17.42,4.56,11.8,1440.37,1512.8,56.62,66,189,97,-1414.87,114.95
PV-Anlage,06.01.2024 06:00:00,82.06,127,61.98,12.9,7.18,1621.82,926.04,28.36,80,957,16,-135.99,423.07
PV-Anlage,06.01.2024 07:00:00,82.53,128,5.43,25.01,52.09,1542.92,679.2,37.67,10,92,42,-1918.81,178.79
PV-Anlage,06.01.2024 08:00:00,85.59,129,74.13,8.21,3.25,228.23,2215.54,95.08,9,718,47,664.71,167.63
PV-Anlage,06.01.2024 09:00:00,84.5,130,21.48,11.18,51.84,1618.68,3602.59,87.93,45,838,75,-1984.69,244.03
PV-Anlage,06.01.2024 10:00:00,38.22,131,9.91,0.36,27.95,638.93,3614.51,60.8,72,346,55,657.58,422.66
PV-Anlage,06.01.2024 11:00:00,88.83,132,6.0,75.49,7.34,486.98,1263.08,13.29,80,890,61,-919.55,80.0
PV-Anlage,06.01.2024 12:00:00,42.17,133,19.18,6.99,16.0,174.38,208.81,77.1,28,946,23,-1819.82,88.78
PV-Anlage,06.01.2024 13:00:00,13.31,134,0.43,6.36,6.52,764.55,3685.52,27.52,93,174,65,-1708.61,310.1
PV-Anlage,06.01.2024 14:00:00,93.3,135,48.57,36.09,8.64,1123.0,1340.85,94.07,73,532,27,1636.19,491.23
PV-Anlage,06.01.2024 15:00:00,22.61,136,16.44,3.03,3.14,1426.32,1564.53,85.61,40,789,28,320.16,199.77
PV-Anlage,06.01.2024 16:00:00,46.83,137,36.97,7.74,2.12,1242.09,3254.59,76.61,3,593,10,-1076.79,280.41
PV-Anlage,06.01.2024 17:00:00,98.42,138,66.4,7.94,24.08,1993.96,703.18,95.21,23,646,59,437.36,318.54
PV-Anlage,06.01.2024 18:00:00,10.97,139,0.58,4.48,5.91,1553.47,3162.7,0.04,32,439,22,1470.56,62.21
PV-Anlage,06.01.2024 19:00:00,11.94,140,8.84,2.08,1.02,1356.46,1989.96,99.16,43,835,24,-1072.67,268.38
PV-Anlage,06.01.2024 20:00:00,96.94,141,53.43,43.23,0.28,330.56,1806.06,79.92,6,520,13,1238.71,218.05
PV-Anlage,06.01.2024 21:00:00,58.32,142,55.44,2.5,0.38,450.97,1821.31,81.47,67,851,35,-101.88,203.66
PV-Anlage,06.01.2024 22:00:00,67.44,143,7.49,59.95,-0.0,173.02,214.68,5.16,91,590,18,-920.16,100.48
PV-Anlage,06.01.2024 23:00:00,97.19,144,92.2,0.78,4.21,1744.89,2674.86,4.73,70,263,23,1404.3,472.88
PV-Anlage,07.01.2024 00:00:00,1.39,145,0.25,0.17,0.97,491.61,763.69,86.0,60,158,76,-1029.11,58.83
PV-Anlage,07.01.2024 01:00:00,9.55,146,4.69,2.6,2.26,89.64,2782.75,36.85,53,469,21,784.12,490.61
PV-Anlage,07.01.2024 02:00:00,25.29,147,0.38,20.94,3.97,292.76,773.62,41.32,53,264,17,-673.23,262.78
PV-Anlage,07.01.2024 03:00:00,60.8,148,52.45,2.28,6.07,1598.46,736.43,92.4,0,949,72,256.29,246.29
PV-Anlage,07.01.2024 04:00:00,34.98,149,7.25,1.61,26.12,1024.82,2223.54,49.18,53,976,21,-1997.27,215.29
PV-Anlage,07.01.2024 05:00:00,73.69,150,55.87,14.88,2.94,84.65,1021.75,77.36,99,907,99,567.23,372.66
PV-Anlage,07.01.2024 06:00:00,29.46,151,10.0,11.92,7.54,482.95,806.8,86.09,51,677,75,669.96,110.98
PV-Anlage,07.01.2024 07:00:00,66.63,152,48.15,2.69,15.79,1498.82,2400.63,67.54,91,470,58,490.73,433.33
PV-Anlage,07.01.2024 08:00:00,12.07,153,7.78,4.16,0.13,79.59,22.19,17.7,0,39,68,199.86,127.56
PV-Anlage,07.01.2024 09:00:00,92.15,154,28.43,56.75,6.97,614.35,3308.83,87.74,31,3,19,-458.99,354.99
PV-Anlage,07.01.2024 10:00:00,58.45,155,9.9,35.78,12.77,1329.11,685.67,37.09,27,16,87,-739.06,261.97
PV-Anlage,07.01.2024 11:00:00,46.2,156,25.71,17.84,2.65,821.95,2032.52,81.89,40,464,42,1721.89,249.76
PV-Anlage,07.01.2024 12:00:00,29.87,157,19.94,3.89,6.04,1409.87,3265.16,44.63,100,716,25,-1581.68,423.98
PV-Anlage,07.01.2024 13:00:00,14.35,158,3.47,7.6,3.28,1741.73,707.16,62.46,76,62,17,-1437.97,74.39
PV-Anlage,07.01.2024 14:00:00,54.25,159,30.02,12.74,11.49,1665.69,2425.95,7.38,94,598,18,-1973.67,85.37
PV-Anlage,07.01.2024 15:00:00,50.6,160,30.5,18.61,1.49,1021.9,3126.32,5.47,62,9,88,244.84,154.92
PV-Anlage,07.01.2024 16:00:00,25.44,161,10.04,8.47,6.93,1992.48,1588.02,60.88,68,345,95,-344.94,272.1
PV-Anlage,07.01.2024 17:00:00,69.13,162,53.91,14.91,0.31,1689.31,1089.26,49.34,85,182,20,-630.0,362.33
PV-Anlage,07.01.2024 18:00:00,61.62,163,13.24,33.42,14.96,919.53,3390.62,37.57,100,946,4,-1789.27,391.3
PV-Anlage,07.01.2024 19:00:00,81.55,164,3.11,54.67,23.77,502.5,2024.38,71.42,72,271,89,-284.64,148.89
PV-Anlage,07.01.2024 20:00:00,96.31,165,91.18,5.07,0.06,447.12,1373.63,34.58,91,841,21,1902.87,151.92
PV-Anlage,07.01.2024 21:00:00,74.45,166,54.82,15.93,3.7,316.3,2233.53,7.52,4,699,55,400.12,209.46
PV-Anlage,07.01.2024 22:00:00,49.92,167,15.38,2.28,32.26,392.07,1339.2,68.81,12,605,69,490.14,492.97
PV-Anlage,07.01.2024 23:00:00,16.32,168,7.25,0.47,8.6,1770.89,2265.04,74.37,56,149,57,-1123.22,289.35
PV-Anlage,08.01.2024 00:00:00,85.63,169,9.8,12.13,63.7,1735.91,1697.69,76.55,14,348,94,-307.85,199.66
PV-Anlage,08.01.2024 01:00:00,73.67,170,19.14,16.22,38.31,1122.81,1006.65,63.64,74,739,3,1508.08,350.45
PV-Anlage,08.01.2024 02:00:00,37.7,171,7.89,26.55,3.26,958.93,2455.87,68.43,65,442,68,-231.18,476.54
PV-Anlage,08.01.2024 03:00:00,87.93,172,9.7,68.42,9.81,119.0,1698.91,75.67,51,883,96,-1084.14,178.98
PV-Anlage,08.01.2024 04:00:00,41.73,173,5.02,26.93,9.78,1271.31,1209.47,9.85,36,883,41,853.2,463.39
PV-Anlage,08.01.2024 05:00:00,11.13,174,7.51,2.23,1.39,1213.33,1728.88,72.08,1,649,66,1805.42,71.57
PV-Anlage,08.01.2024 06:00:00,97.23,175,20.64,38.77,37.82,1985.44,2506.67,90.25,82,464,14,1387.13,63.12
PV-Anlage,08.01.2024 07:00:00,11.49,176,8.17,1.44,1.88,415.91,2462.25,63.24,17,978,26,216.85,362.64
PV-Anlage,08.01.2024 08:00:00,22.68,177,9.6,5.45,7.63,884.72,3156.03,17.41,37,642,10,-1420.35,102.42
PV-Anlage,08.01.2024 09:00:00,9.42,178,0.66,6.82,1.94,579.51,2958.96,11.71,68,163,30,1875.77,50.43
PV-Anlage,08.01.2024 10:00:00,71.86,179,13.64,52.63,5.59,144.6,71.13,29.29,93,895,78,1723.09,465.24
PV-Anlage,08.01.2024 11:00:00,28.85,180,17.86,8.9,2.09,387.89,3211.02,2.56,17,105,5,-1670.74,419.97
PV-Anlage,08.01.2024 12:00:00,63.77,181,61.09,0.65,2.03,841.57,691.25,89.35,30,439,91,1080.29,274.31
PV-Anlage,08.01.2024 13:00:00,83.75,182,32.8,29.82,21.13,1460.8,1310.57,5.41,56,288,82,-1983.65,217.42
PV-Anlage,08.01.2024 14:00:00,41.91,183,21.66,15.29,4.96,1564.14,2750.84,9.8,28,879,95,-718.38,121.47
PV-Anlage,08.01.2024 15:00:00,19.4,184,7.59,5.79,6.02,1222.43,1343.17,72.25,10,18,26,404.9,237.77
PV-Anlage,08.01.2024 16:00:00,42.74,185,10.33,9.89,22.52,637.16,2013.14,96.38,9,556,93,-890.16,164.98
PV-Anlage,08.01.2024 17:00:00,16.4,186,1.31,11.19,3.9,1736.47,3019.3,66.29,38,369,18,-1073.88,208.8
PV-Anlage,08.01.2024 18:00:00,88.71,187,33.57,19.76,35.38,1237.44,1548.58,2.97,13,75,88,1.2,406.97
PV-Anlage,08.01.2024 19:00:00,61.8,188,33.27,2.75,25.78,975.46,2007.51,81.55,67,298,76,-1515.94,372.91
PV-Anlage,08.01.2024 20:00:00,84.66,189,82.22,2.05,0.39,702.8,1275.25,83.16,2,548,25,-1117.83,457.04
PV-Anlage,08.01.2024 21:00:00,15.1,190,11.51,1.02,2.57,944.04,2423.65,8.41,72,533,43,-810.06,178.38
PV-Anlage,08.01.2024 22:00:00,7.14,191,1.05,0.87,5.22,1932.94,2033.37,12.77,39,840,15,721.49,339.79
PV-Anlage,08.01.2024 23:00:00,3.52,192,2.15,0.77,0.6,1898.49,1423.54,76.68,94,480,75,-1544.69,498.2
PV-Anlage,09.01.2024 00:00:00,58.35,193,54.03,0.67,3.65,1085.75,1724.96,7.71,66,69,35,-22.27,103.45
PV-Anlage,09.01.2024 01:00:00,27.19,194,14.51,8.51,4.17,1412.75,179.07,83.13,93,835,72,1488.77,255.34
PV-Anlage,09.01.2024 02:00:00,54.33,195,46.22,5.97,2.14,1643.3,2669.97,9.54,49,40,78,-552.23,479.24
PV-Anlage,09.01.2024 03:00:00,74.64,196,22.24,34.34,18.06,1392.13,205.71,6.65,12,972,16,-238.98,384.7
PV-Anlage,09.01.2024 04:00:00,94.72,197,44.22,50.34,0.16,981.81,963.0,73.21,7,339,26,-295.24,226.91
PV-Anlage,09.01.2024 05:00:00,82.27,198,80.85,0.52,0.9,1707.45,3063.5,91.73,40,74,68,-951.39,396.2
PV-Anlage,09.01.2024 06:00:00,34.88,199,18.81,7.15,8.92,1233.9,3644.54,62.52,53,935,92,199.39,379.33
PV-Anlage,09.01.2024 07:00:00,50.69,200,11.89,14.84,23.96,1659.47,3373.91,12.63,18,483,59,1750.51,218.2
PV-Anlage,09.01.2024 08:00:00,35.48,201,6.65,27.99,0.84,1486.69,99.25,30.33,28,427,65,-322.3,115.19
PV-Anlage,09.01.2024 09:00:00,65.28,202,7.7,8.41,49.17,804.62,810.88,91.55,28,283,9,-1373.71,437.27
PV-Anlage,09.01.2024 10:00:00,86.71,203,4.88,41.68,40.15,1355.61,1376.12,46.1,19,834,3,-759.35,51.41
PV-Anlage,09.01.2024 11:00:00,38.02,204,31.7,5.99,0.33,62.87,3410.34,49.44,58,168,88,945.57,176.31
